"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,94875;0,94943;0,94943;9,99999999995449e-06;0;0
"2";0,95;100;100;0;4;0,94997;0,95049;0,95049;0;0;0
"3";0,95;100;100;0;2;0,94972;0,94994;0,94994;9,99999999995449e-06;0;0
"4";0,95;100;100;0;1;0,9519;0,95192;0,95192;0;0;0
"5";0,95;100;100;0;0,1;0,94934;0,95006;0,95006;0;1,00000000000655e-05;1,00000000000655e-05
"6";0,95;100;100;0;0,5;0,95002;0,95031;0,95031;0;0;0
"7";0,95;100;100;0;0,25;0,94985;0,95054;0,95054;9,99999999995449e-06;0;0
"8";0,95;100;100;1;10;0;0;0;0;0;0
"9";0,95;100;100;1;4;0;0;0;0;0;0
"10";0,95;100;100;1;2;0;0;0;0;0;0
"11";0,95;100;100;1;1;0;0;0;0;0;0
"12";0,95;100;100;1;0,1;0,74035;0,74285;0,74285;9,99999999995449e-06;2,000000000002e-05;2,000000000002e-05
"13";0,95;100;100;1;0,5;0,00252;0,00254;0,00254;0;0;0
"14";0,95;100;100;1;0,25;0,21968;0,22147;0,22147;9,99999999998225e-06;0;0
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0,36672;0,36926;0,36926;1,000000000001e-05;0;0
"20";0,95;100;100;2;0,5;0;0;0;0;0;0
"21";0,95;100;100;2;0,25;0,00068;0,00071;0,00071;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,09097;0,09215;0,09215;0;1,99999999999922e-05;1,99999999999922e-05
"27";0,95;100;100;3;0,5;0;0;0;0;0;0
"28";0,95;100;100;3;0,25;0;0;0;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
