"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,9501;0,95089;0,95089;0;0;0
"2";0,95;100;100;0;4;0,94777;0,94848;0,94848;0;0;0
"3";0,95;100;100;0;2;0,95027;0,95054;0,95054;0;1,00000000000655e-05;1,00000000000655e-05
"4";0,95;100;100;0;1;0,9495;0,94953;0,94953;0;0;0
"5";0,95;100;100;0;0,1;0,94923;0,95003;0,95003;0;1,00000000000655e-05;1,00000000000655e-05
"6";0,95;100;100;0;0,5;0,94931;0,94961;0,94961;9,99999999995449e-06;0;0
"7";0,95;100;100;0;0,25;0,95019;0,95062;0,95062;0;0;0
"8";0,95;100;100;1;10;0;0;0;0;0;0
"9";0,95;100;100;1;4;0;0;0;0;0;0
"10";0,95;100;100;1;2;0;0;0;0;0;0
"11";0,95;100;100;1;1;4e-05;4e-05;4e-05;0;0;0
"12";0,95;100;100;1;0,1;0,73291;0,73542;0,73542;9,99999999995449e-06;1,9999999999909e-05;1,9999999999909e-05
"13";0,95;100;100;1;0,5;0,00438;0,00439;0,00439;0;0;0
"14";0,95;100;100;1;0,25;0,21802;0,21956;0,21956;0;0;0
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0,35893;0,36154;0,36154;0;0;0
"20";0,95;100;100;2;0,5;0;0;0;0;0;0
"21";0,95;100;100;2;0,25;0,0021;0,00214;0,00214;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,09257;0,09387;0,09387;2,00000000000061e-05;0;0
"27";0,95;100;100;3;0,5;0;0;0;0;0;0
"28";0,95;100;100;3;0,25;0,00012;0,00012;0,00012;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0,0135;0,01375;0,01375;0;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;0;0;0;0;0;0
"36";0,95;100;20;0;10;0,99991;0,95114;0,95114;0;0;0
"37";0,95;100;20;0;4;0,99923;0,95004;0,95004;0;0;0
"38";0,95;100;20;0;2;0,99295;0,94946;0,94946;9,99999999995449e-06;0;0
"39";0,95;100;20;0;1;0,94978;0,9504;0,9504;0;1,00000000000655e-05;1,00000000000655e-05
"40";0,95;100;20;0;0,1;0,76436;0,95095;0,95095;0;0;0
"41";0,95;100;20;0;0,5;0,8574;0,95013;0,95013;0;0;0
"42";0,95;100;20;0;0,25;0,7917;0,94969;0,94969;9,99999999995449e-06;0;0
"43";0,95;100;20;1;10;0,00021;0;0;0;0;0
"44";0,95;100;20;1;4;0,00016;1e-05;1e-05;0;0;0
"45";0,95;100;20;1;2;0,00047;0,00023;0,00023;0;0;0
"46";0,95;100;20;1;1;0,01042;0,01719;0,01719;0;0;0
"47";0,95;100;20;1;0,1;0,60332;0,87981;0,87981;9,99999999995449e-06;2,000000000002e-05;2,000000000002e-05
"48";0,95;100;20;1;0,5;0,13139;0,29685;0,29685;0;1,000000000001e-05;1,000000000001e-05
"49";0,95;100;20;1;0,25;0,37505;0,69147;0,69147;1,000000000001e-05;0;0
"50";0,95;100;20;2;10;0;0;0;0;0;0
"51";0,95;100;20;2;4;1e-05;0;0;0;0;0
"52";0,95;100;20;2;2;0;1e-05;1e-05;0;0;0
"53";0,95;100;20;2;1;0;0,00011;0,00011;0;0;0
"54";0,95;100;20;2;0,1;0,42395;0,7666;0,7666;1,000000000001e-05;9,99999999995449e-06;9,99999999995449e-06
"55";0,95;100;20;2;0,5;0,00185;0,0127;0,0127;0;0;0
"56";0,95;100;20;2;0,25;0,08135;0,28231;0,28231;0;2,000000000002e-05;2,000000000002e-05
"57";0,95;100;20;3;10;0;0;0;0;0;0
"58";0,95;100;20;3;4;0;0;0;0;0;0
"59";0,95;100;20;3;2;0;0;0;0;0;0
"60";0,95;100;20;3;1;0;1e-05;1e-05;0;0;0
"61";0,95;100;20;3;0,1;0,26111;0,60743;0,60743;0;1,00000000000655e-05;1,00000000000655e-05
"62";0,95;100;20;3;0,5;9e-05;0,00077;0,00077;0;0;0
"63";0,95;100;20;3;0,25;0,00974;0,06643;0,06643;0;0;0
"64";0,95;100;20;4;10;0;0;0;0;0;0
"65";0,95;100;20;4;4;0;0;0;0;0;0
"66";0,95;100;20;4;2;0;0;0;0;0;0
"67";0,95;100;20;4;1;1e-05;1e-05;1e-05;0;0;0
"68";0,95;100;20;4;0,1;0,14372;0,43513;0,43513;0;3,000000000003e-05;3,000000000003e-05
"69";0,95;100;20;4;0,5;2e-05;0,00013;0,00013;0;0;0
"70";0,95;100;20;4;0,25;0,00113;0,01186;0,01186;0;0;0
"71";0,95;100;50;0;10;0,98954;0,95031;0,95031;0;0;0
"72";0,95;100;50;0;4;0,98701;0,94994;0,94994;0;0;0
"73";0,95;100;50;0;2;0,97813;0,9508;0,9508;0;0;0
"74";0,95;100;50;0;1;0,94966;0,94928;0,94928;0;0;0
"75";0,95;100;50;0;0,1;0,87423;0,94917;0,94917;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"76";0,95;100;50;0;0,5;0,91019;0,94967;0,94967;0;0;0
"77";0,95;100;50;0;0,25;0,88317;0,94914;0,94914;1,00000000000655e-05;0;0
"78";0,95;100;50;1;10;4e-05;1e-05;1e-05;0;0;0
"79";0,95;100;50;1;4;2e-05;1e-05;1e-05;0;0;0
"80";0,95;100;50;1;2;5e-05;1e-05;1e-05;0;0;0
"81";0,95;100;50;1;1;0,00026;0,00037;0,00037;0;0;0
"82";0,95;100;50;1;0,1;0,66884;0,8219;0,8219;9,99999999995449e-06;0;0
"83";0,95;100;50;1;0,5;0,02785;0,05525;0,05525;0;0;0
"84";0,95;100;50;1;0,25;0,28769;0,44957;0,44957;0;0;0
"85";0,95;100;50;2;10;0;0;0;0;0;0
"86";0,95;100;50;2;4;0;0;0;0;0;0
"87";0,95;100;50;2;2;0;0;0;0;0;0
"88";0,95;100;50;2;1;0;0;0;0;0;0
"89";0,95;100;50;2;0,1;0,39536;0,58452;0,58452;1,000000000001e-05;2,000000000002e-05;2,000000000002e-05
"90";0,95;100;50;2;0,5;2e-05;0,00016;0,00016;0;0;0
"91";0,95;100;50;2;0,25;0,01587;0,04275;0,04275;0;1,00000000000031e-05;1,00000000000031e-05
"92";0,95;100;50;3;10;0;0;0;0;0;0
"93";0,95;100;50;3;4;0;0;0;0;0;0
"94";0,95;100;50;3;2;0;0;0;0;0;0
"95";0,95;100;50;3;1;0;0;0;0;0;0
"96";0,95;100;50;3;0,1;0,16852;0,31415;0,31415;0;2,99999999999745e-05;2,99999999999745e-05
"97";0,95;100;50;3;0,5;0;1e-05;1e-05;0;0;0
