"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,93196;0,93289;0,93289;1,00000000000655e-05;9,99999999995449e-06;9,99999999995449e-06
"2";0,95;100;100;0;4;0,93611;0,93674;0,93674;9,99999999995449e-06;0;0
"3";0,95;100;100;0;2;0,94009;0,94032;0,94032;0;1,00000000000655e-05;1,00000000000655e-05
"4";0,95;100;100;0;1;0,94998;0,94999;0,94999;1,00000000000655e-05;0;0
"5";0,95;100;100;0;0,1;0,96311;0,96377;0,96377;0;1,00000000000655e-05;1,00000000000655e-05
"6";0,95;100;100;0;0,5;0,95854;0,95895;0,95895;9,99999999995449e-06;0;0
"7";0,95;100;100;0;0,25;0,96139;0,96194;0,96194;0;0;0
"8";0,95;100;100;1;10;0,00016;0,00016;0,00016;0;0;0
"9";0,95;100;100;1;4;0,00022;0,00022;0,00022;0;0;0
"10";0,95;100;100;1;2;0,00017;0,00017;0,00017;0;0;0
"11";0,95;100;100;1;1;0,00019;0,00019;0,00019;0;0;0
"12";0,95;100;100;1;0,1;0,75927;0,76167;0,76167;9,99999999995449e-06;1,9999999999909e-05;1,9999999999909e-05
"13";0,95;100;100;1;0,5;0,00187;0,00188;0,00188;0;0;0
"14";0,95;100;100;1;0,25;0,18997;0,19167;0,19167;1,000000000001e-05;3,00000000000022e-05;3,00000000000022e-05
"15";0,95;100;100;2;10;1e-05;1e-05;1e-05;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;1e-05;1e-05;1e-05;0;0;0
"18";0,95;100;100;2;1;1e-05;1e-05;1e-05;0;0;0
"19";0,95;100;100;2;0,1;0,3454;0,34817;0,34817;1,000000000001e-05;9,99999999995449e-06;9,99999999995449e-06
"20";0,95;100;100;2;0,5;2e-05;2e-05;2e-05;0;0;0
"21";0,95;100;100;2;0,25;0,00035;0,00035;0,00035;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;1e-05;1e-05;1e-05;0;0;0
"26";0,95;100;100;3;0,1;0,0659;0,06694;0,06694;0;9,99999999999612e-06;9,99999999999612e-06
"27";0,95;100;100;3;0,5;1e-05;1e-05;1e-05;0;0;0
"28";0,95;100;100;3;0,25;1e-05;1e-05;1e-05;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;1e-05;1e-05;1e-05;0;0;0
"32";0,95;100;100;4;1;1e-05;1e-05;1e-05;0;0;0
"33";0,95;100;100;4;0,1;0,00471;0,0048;0,0048;0;9,99999999999959e-06;9,99999999999959e-06
"34";0,95;100;100;4;0,5;1e-05;1e-05;1e-05;0;0;0
"35";0,95;100;100;4;0,25;0;0;0;0;0;0
"36";0,95;100;20;0;10;0,99925;0,93545;0,93545;0;0;0
"37";0,95;100;20;0;4;0,99746;0,94313;0,94313;0;0;0
"38";0,95;100;20;0;2;0,98701;0,95581;0,95581;0;0;0
"39";0,95;100;20;0;1;0,94316;0,96531;0,96531;9,99999999995449e-06;0;0
"40";0,95;100;20;0;0,1;0,78924;0,97005;0,97005;1,00000000000655e-05;0;0
"41";0,95;100;20;0;0,5;0,8676;0,96901;0,96901;0;0;0
"42";0,95;100;20;0;0,25;0,81484;0,96999;0,96999;0;0;0
"43";0,95;100;20;1;10;0,00201;0,00018;0,00018;0;0;0
"44";0,95;100;20;1;4;0,00203;0,00015;0,00015;0;0;0
"45";0,95;100;20;1;2;0,00282;0,00018;0,00018;0;0;0
"46";0,95;100;20;1;1;0,0111;0,00638;0,00638;0;0;0
"47";0,95;100;20;1;0,1;0,62543;0,9164;0,9164;0;0;0
"48";0,95;100;20;1;0,5;0,11528;0,26513;0,26513;9,99999999999612e-06;2,99999999999745e-05;2,99999999999745e-05
"49";0,95;100;20;1;0,25;0,37463;0,72515;0,72515;1,000000000001e-05;0;0
"50";0,95;100;20;2;10;0,00012;1e-05;1e-05;0;0;0
"51";0,95;100;20;2;4;0,00018;1e-05;1e-05;0;0;0
"52";0,95;100;20;2;2;5e-05;0;0;0;0;0
"53";0,95;100;20;2;1;0,00014;7e-05;7e-05;0;0;0
"54";0,95;100;20;2;0,1;0,42618;0,8028;0,8028;1,000000000001e-05;2,99999999999745e-05;2,99999999999745e-05
"55";0,95;100;20;2;0,5;0,00066;0,00318;0,00318;0;0;0
