"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,94934;0,95074;0,95074;9,99999999995449e-06;0;0
"2";0,95;100;100;0;4;0,94972;0,95069;0,95069;0;0;0
"3";0,95;100;100;0;2;0,95029;0,95078;0,95078;0;0;0
"4";0,95;100;100;0;1;0,95108;0,95112;0,95112;0;0;0
"5";0,95;100;100;0;0,1;0,94889;0,95014;0,95014;0;0;0
"6";0,95;100;100;0;0,5;0,94879;0,94928;0,94928;0;0;0
"7";0,95;100;100;0;0,25;0,94915;0,95023;0,95023;0;0;0
"8";0,95;100;100;1;10;1e-05;1e-05;1e-05;0;0;0
"9";0,95;100;100;1;4;3e-05;3e-05;3e-05;0;0;0
"10";0,95;100;100;1;2;3e-05;3e-05;3e-05;0;0;0
"11";0,95;100;100;1;1;2e-05;2e-05;2e-05;0;0;0
"12";0,95;100;100;1;0,1;0,82548;0,82839;0,82839;0;0;0
"13";0,95;100;100;1;0,5;0,00881;0,00901;0,00901;0;0;0
"14";0,95;100;100;1;0,25;0,31629;0,3193;0,3193;0;9,99999999995449e-06;9,99999999995449e-06
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0,47725;0,48161;0,48161;0;4,99999999999945e-05;4,99999999999945e-05
"20";0,95;100;100;2;0,5;4e-05;4e-05;4e-05;0;0;0
"21";0,95;100;100;2;0,25;0,00459;0,00467;0,00467;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,15858;0,16122;0,16122;0;0;0
"27";0,95;100;100;3;0,5;1e-05;1e-05;1e-05;0;0;0
"28";0,95;100;100;3;0,25;9e-05;9e-05;9e-05;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0,02818;0,02881;0,02881;0;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;2e-05;2e-05;2e-05;0;0;0
"36";0,95;100;20;0;10;0,99997;0,9515;0,9515;0;0;0
"37";0,95;100;20;0;4;0,99985;0,95215;0,95215;0;0;0
"38";0,95;100;20;0;2;0,99657;0,95201;0,95201;0;0;0
"39";0,95;100;20;0;1;0,95056;0,95288;0,95288;0;0;0
"40";0,95;100;20;0;0,1;0,6139;0,95323;0,95323;9,99999999995449e-06;1,00000000000655e-05;1,00000000000655e-05
"41";0,95;100;20;0;0,5;0,80307;0,9531;0,9531;0;9,99999999995449e-06;9,99999999995449e-06
"42";0,95;100;20;0;0,25;0,67355;0,95342;0,95342;2,000000000002e-05;0;0
"43";0,95;100;20;1;10;0,00053;3e-05;3e-05;0;0;0
"44";0,95;100;20;1;4;7e-04;4e-05;4e-05;0;0;0
"45";0,95;100;20;1;2;0,00134;0,00033;0,00033;0;0;0
"46";0,95;100;20;1;1;0,0227;0,03496;0,03496;0;0;0
"47";0,95;100;20;1;0,1;0,56408;0,92856;0,92856;1,00000000000655e-05;1,00000000000655e-05;1,00000000000655e-05
"48";0,95;100;20;1;0,5;0,17934;0,41524;0,41524;0;2,000000000002e-05;2,000000000002e-05
"49";0,95;100;20;1;0,25;0,41851;0,79338;0,79338;0;0;0
"50";0,95;100;20;2;10;1e-05;0;0;0;0;0
"51";0,95;100;20;2;4;2e-05;0;0;0;0;0
"52";0,95;100;20;2;2;0;0;0;0;0;0
"53";0,95;100;20;2;1;8e-05;0,00026;0,00026;0;0;0
"54";0,95;100;20;2;0,1;0,43857;0,85151;0,85151;1,000000000001e-05;0;0
"55";0,95;100;20;2;0,5;0,00296;0,02553;0,02553;0;0;0
"56";0,95;100;20;2;0,25;0,10817;0,40048;0,40048;0;0;0
"57";0,95;100;20;3;10;0;0;0;0;0;0
"58";0,95;100;20;3;4;0;0;0;0;0;0
"59";0,95;100;20;3;2;1e-05;0;0;0;0;0
"60";0,95;100;20;3;1;0;4e-05;4e-05;0;0;0
"61";0,95;100;20;3;0,1;0,29411;0,72664;0,72664;1,99999999999645e-05;0;0
"62";0,95;100;20;3;0,5;0,00014;0,00149;0,00149;0;0;0
"63";0,95;100;20;3;0,25;0,0145;0,11483;0,11483;0;0;0
"64";0,95;100;20;4;10;1e-05;0;0;0;0;0
"65";0,95;100;20;4;4;0;0;0;0;0;0
"66";0,95;100;20;4;2;0;0;0;0;0;0
"67";0,95;100;20;4;1;0;0;0;0;0;0
"68";0,95;100;20;4;0,1;0,17398;0,56457;0,56457;0;0;0
"69";0,95;100;20;4;0,5;3e-05;0,00025;0,00025;0;0;0
"70";0,95;100;20;4;0,25;0,00172;0,02383;0,02383;0;0;0
"71";0,95;100;50;0;10;0,99455;0,94962;0,94962;0;0;0
"72";0,95;100;50;0;4;0,99196;0,95052;0,95052;0;0;0
"73";0,95;100;50;0;2;0,98331;0,95047;0,95047;0;0;0
"74";0,95;100;50;0;1;0,9495;0,94986;0,94986;0;0;0
"75";0,95;100;50;0;0,1;0,83199;0,95113;0,95113;0;0;0
"76";0,95;100;50;0;0,5;0,88937;0,95044;0,95044;0;0;0
"77";0,95;100;50;0;0,25;0,8491;0,95159;0,95159;0;0;0
"78";0,95;100;50;1;10;8e-05;2e-05;2e-05;0;0;0
"79";0,95;100;50;1;4;8e-05;2e-05;2e-05;0;0;0
"80";0,95;100;50;1;2;1e-04;2e-05;2e-05;0;0;0
"81";0,95;100;50;1;1;5e-04;7e-04;7e-04;0;0;0
"82";0,95;100;50;1;0,1;0,72814;0,89008;0,89008;0;0;0
"83";0,95;100;50;1;0,5;0,04738;0,09766;0,09766;0;0;0
"84";0,95;100;50;1;0,25;0,37115;0,57648;0,57648;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"85";0,95;100;50;2;10;0;0;0;0;0;0
"86";0,95;100;50;2;4;1e-05;0;0;0;0;0
"87";0,95;100;50;2;2;0;0;0;0;0;0
"88";0,95;100;50;2;1;0;1e-05;1e-05;0;0;0
"89";0,95;100;50;2;0,1;0,47376;0,69907;0,69907;1,000000000001e-05;0;0
"90";0,95;100;50;2;0,5;0,00014;0,00046;0,00046;0;0;0
"91";0,95;100;50;2;0,25;0,02663;0,07849;0,07849;0;1,000000000001e-05;1,000000000001e-05
"92";0,95;100;50;3;10;0;0;0;0;0;0
"93";0,95;100;50;3;4;0;0;0;0;0;0
"94";0,95;100;50;3;2;0;0;0;0;0;0
"95";0,95;100;50;3;1;0;0;0;0;0;0
"96";0,95;100;50;3;0,1;0,22771;0,4315;0,4315;9,99999999998225e-06;1,000000000001e-05;1,000000000001e-05
"97";0,95;100;50;3;0,5;0;1e-05;1e-05;0;0;0
"98";0,95;100;50;3;0,25;0,00086;0,00335;0,00335;0;0;0
"99";0,95;100;50;4;10;0;0;0;0;0;0
"100";0,95;100;50;4;4;0;0;0;0;0;0
"101";0,95;100;50;4;2;0;0;0;0;0;0
"102";0,95;100;50;4;1;0;0;0;0;0;0
"103";0,95;100;50;4;0,1;0,08117;0,20134;0,20134;0;1,99999999999922e-05;1,99999999999922e-05
"104";0,95;100;50;4;0,5;0;1e-05;1e-05;0;0;0
"105";0,95;100;50;4;0,25;7e-05;0,00039;0,00039;0;0;0
"106";0,95;20;100;0;10;0,60937;0,95367;0,95367;0;0;0
"107";0,95;20;100;0;4;0,67061;0,95307;0,95307;2,000000000002e-05;0;0
"108";0,95;20;100;0;2;0,80304;0,95366;0,95366;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"109";0,95;20;100;0;1;0,94872;0,95207;0,95207;0;0;0
"110";0,95;20;100;0;0,1;0,99999;0,95127;0,95127;0;0;0
"111";0,95;20;100;0;0,5;0,99643;0,95084;0,95084;0;0;0
"112";0,95;20;100;0;0,25;0,99975;0,95001;0,95001;0;0;0
"113";0,95;20;100;1;10;0,00148;0,02339;0,02339;0;0;0
"114";0,95;20;100;1;4;0,00153;0,02328;0,02328;0;0;0
