"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,9081;0,9094;0,9094;0;0;0
"2";0,95;100;100;0;4;0,91473;0,91543;0,91543;0;0;0
"3";0,95;100;100;0;2;0,93596;0,93631;0,93631;0;0;0
"4";0,95;100;100;0;1;0,9541;0,95455;0,95455;0;9,99999999995449e-06;9,99999999995449e-06
"5";0,95;100;100;0;0,1;0,90707;0,90828;0,90828;0;0;0
"6";0,95;100;100;0;0,5;0,93429;0,93465;0,93465;0;0;0
"7";0,95;100;100;0;0,25;0,91444;0,91525;0,91525;0;0;0
"8";0,95;100;100;1;10;0;0;0;0;0;0
"9";0,95;100;100;1;4;0;0;0;0;0;0
"10";0,95;100;100;1;2;4e-05;4e-05;4e-05;0;0;0
"11";0,95;100;100;1;1;0,0014;0,00142;0,00142;0;0;0
"12";0,95;100;100;1;0,1;0,69494;0,6976;0,6976;0;0;0
"13";0,95;100;100;1;0,5;0,04514;0,04573;0,04573;0;0;0
"14";0,95;100;100;1;0,25;0,31196;0,31386;0,31386;0;9,99999999995449e-06;9,99999999995449e-06
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;2e-05;2e-05;2e-05;0;0;0
"19";0,95;100;100;2;0,1;0,41604;0,41873;0,41873;0;1,000000000001e-05;1,000000000001e-05
"20";0,95;100;100;2;0,5;0,00105;0,00105;0,00105;0;0;0
"21";0,95;100;100;2;0,25;0,038;0,03861;0,03861;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,20387;0,20583;0,20583;1,99999999999922e-05;1,000000000001e-05;1,000000000001e-05
"27";0,95;100;100;3;0,5;0,00011;0,00011;0,00011;0;0;0
"28";0,95;100;100;3;0,25;0,005;0,00507;0,00507;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0,08942;0,0906;0,0906;2,00000000000061e-05;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;0,00076;8e-04;8e-04;0;0;0
"36";0,95;100;20;0;10;0,99325;0,91765;0,91765;0;0;0
"37";0,95;100;20;0;4;0,99042;0,94231;0,94231;0;0;0
"38";0,95;100;20;0;2;0,98014;0,95848;0,95848;0;0;0
"39";0,95;100;20;0;1;0,95309;0,89611;0,89611;0;0;0
"40";0,95;100;20;0;0,1;0,5565;0,83498;0,83498;9,99999999995449e-06;0;0
"41";0,95;100;20;0;0,5;0,78768;0,84919;0,84919;0;0;0
"42";0,95;100;20;0;0,25;0,62489;0,83613;0,83613;0;0;0
"43";0,95;100;20;1;10;0,00185;0;0;0;0;0
"44";0,95;100;20;1;4;0,00191;0,00057;0,00057;0;0;0
"45";0,95;100;20;1;2;0,0058;0,01046;0,01046;0;0;0
"46";0,95;100;20;1;1;0,04628;0,10017;0,10017;0;0;0
"47";0,95;100;20;1;0,1;0,46953;0,72744;0,72744;0;0;0
"48";0,95;100;20;1;0,5;0,18058;0,33203;0,33203;0;0;0
"49";0,95;100;20;1;0,25;0,34334;0,56456;0,56456;0;0;0
"50";0,95;100;20;2;10;4e-05;0;0;0;0;0
"51";0,95;100;20;2;4;5e-05;0;0;0;0;0
"52";0,95;100;20;2;2;0,00014;0,00034;0,00034;0;0;0
"53";0,95;100;20;2;1;0,00135;0,0086;0,0086;0;0;0
"54";0,95;100;20;2;0,1;0,36104;0,61505;0,61505;0;0;0
"55";0,95;100;20;2;0,5;0,0251;0,09243;0,09243;0;9,99999999999612e-06;9,99999999999612e-06
