"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"1";0,95;100;100;0;10;0,94875;0,94875;0,94943;0,94943
"2";0,95;100;100;0;4;0,94997;0,94997;0,95049;0,95049
"3";0,95;100;100;0;2;0,94972;0,94972;0,94994;0,94994
"4";0,95;100;100;0;1;0,9519;0,9519;0,95192;0,95192
"5";0,95;100;100;0;0,1;0,94934;0,94934;0,95006;0,95006
"6";0,95;100;100;0;0,5;0,95002;0,95002;0,95031;0,95031
"7";0,95;100;100;0;0,25;0,94985;0,94985;0,95054;0,95054
"8";0,95;100;100;1;10;0,93025;0,92621;0,95178;0,95178
"9";0,95;100;100;1;4;0,9333;0,92938;0,94988;0,94988
"10";0,95;100;100;1;2;0,94316;0,93972;0,94958;0,94958
"11";0,95;100;100;1;1;0,94929;0,9465;0,94949;0,94949
"12";0,95;100;100;1;0,1;0,9484;0,94804;0,95024;0,95024
"13";0,95;100;100;1;0,5;0,94706;0,94542;0,94977;0,94977
"14";0,95;100;100;1;0,25;0,948;0,94694;0,95083;0,95083
"15";0,95;100;100;2;10;0,90705;0,89992;0,95115;0,95115
"16";0,95;100;100;2;4;0,91559;0,90919;0,9509;0,9509
"17";0,95;100;100;2;2;0,9375;0,93161;0,95133;0,95133
"18";0,95;100;100;2;1;0,95053;0,94582;0,95087;0,95087
"19";0,95;100;100;2;0,1;0,94737;0,94645;0,95058;0,95058
"20";0,95;100;100;2;0,5;0,94411;0,94055;0,95061;0,95061
"21";0,95;100;100;2;0,25;0,94365;0,94164;0,95064;0,95064
"22";0,95;100;100;3;10;0,89683;0,88835;0,95208;0,95208
"23";0,95;100;100;3;4;0,90576;0,89677;0,94998;0,94998
"24";0,95;100;100;3;2;0,93163;0,92366;0,94965;0,94965
"25";0,95;100;100;3;1;0,95079;0,94521;0,95129;0,95129
"26";0,95;100;100;3;0,1;0,94519;0,94403;0,94996;0,94996
"27";0,95;100;100;3;0,5;0,93988;0,93479;0,9502;0,9502
"28";0,95;100;100;3;0,25;0,93957;0,93675;0,9512;0,9512
"29";0,95;100;100;4;10;0,88967;0,87962;0,95304;0,95304
"30";0,95;100;100;4;4;0,90231;0,89311;0,95173;0,95173
"31";0,95;100;100;4;2;0,92718;0,91878;0,94873;0,94873
"32";0,95;100;100;4;1;0,95192;0,94557;0,95261;0,95261
"33";0,95;100;100;4;0,1;0,94363;0,94199;0,94968;0,94968
"34";0,95;100;100;4;0,5;0,93683;0,93092;0,95103;0,95103
"35";0,95;100;100;4;0,25;0,93482;0,9308;0,95145;0,95145
"36";0,95;100;20;0;10;0,99977;0,99977;0,94999;0,94999
"37";0,95;100;20;0;4;0,99903;0,99903;0,94947;0,94947
"38";0,95;100;20;0;2;0,99344;0,99344;0,94923;0,94923
"39";0,95;100;20;0;1;0,95033;0,95033;0,94944;0,94944
"40";0,95;100;20;0;0,1;0,76504;0,76504;0,94968;0,94968
"41";0,95;100;20;0;0,5;0,85787;0,85787;0,9493;0,9493
"42";0,95;100;20;0;0,25;0,79377;0,79377;0,94932;0,94932
"43";0,95;100;20;1;10;0,99768;0,99737;0,95024;0,94818
"44";0,95;100;20;1;4;0,99618;0,99565;0,95284;0,95283
"45";0,95;100;20;1;2;0,98882;0,98764;0,94895;0,96723
"46";0,95;100;20;1;1;0,95012;0,94718;0,95052;0,96681
"47";0,95;100;20;1;0,1;0,76836;0,76742;0,95069;0,95072
"48";0,95;100;20;1;0,5;0,86158;0,85849;0,95199;0,95624
"49";0,95;100;20;1;0,25;0,79791;0,79596;0,95108;0,95173
"50";0,95;100;20;2;10;0,98921;0,9872;0,95113;0,94659
"51";0,95;100;20;2;4;0,98707;0,98467;0,95307;0,95265
"52";0,95;100;20;2;2;0,98108;0,97802;0,94545;0,97928
"53";0,95;100;20;2;1;0,95098;0,94637;0,94821;0,98022
"54";0,95;100;20;2;0,1;0,76551;0,76383;0,95108;0,95112
"55";0,95;100;20;2;0,5;0,86873;0,86255;0,95134;0,96217
"56";0,95;100;20;2;0,25;0,79572;0,79178;0,95212;0,95351
"57";0,95;100;20;3;10;0,97676;0,97205;0,95041;0,94568
"58";0,95;100;20;3;4;0,97549;0,97058;0,95425;0,95324
"59";0,95;100;20;3;2;0,97234;0,96756;0,94439;0,98495
"60";0,95;100;20;3;1;0,95212;0,94543;0,94798;0,98621
"61";0,95;100;20;3;0,1;0,76599;0,76316;0,95079;0,95097
"62";0,95;100;20;3;0,5;0,87757;0,86946;0,95293;0,96831
"63";0,95;100;20;3;0,25;0,79598;0,78977;0,95255;0,95532
"64";0,95;100;20;4;10;0,96634;0,95977;0,95333;0,94787
"65";0,95;100;20;4;4;0,96564;0,95895;0,95521;0,95372
"66";0,95;100;20;4;2;0,96473;0,95843;0,94108;0,98729
"67";0,95;100;20;4;1;0,95192;0,94447;0,94676;0,98941
"68";0,95;100;20;4;0,1;0,7664;0,76301;0,95154;0,9519
"69";0,95;100;20;4;0,5;0,88465;0,87495;0,95417;0,9721
"70";0,95;100;20;4;0,25;0,79693;0,7896;0,95351;0,95701
"71";0,95;100;50;0;10;0,98885;0,98885;0,94913;0,94913
"72";0,95;100;50;0;4;0,98698;0,98698;0,94942;0,94942
"73";0,95;100;50;0;2;0,97795;0,97795;0,95059;0,95059
"74";0,95;100;50;0;1;0,95019;0,95019;0,95014;0,95014
"75";0,95;100;50;0;0,1;0,87565;0,87565;0,94964;0,94964
"76";0,95;100;50;0;0,5;0,90926;0,90926;0,94935;0,94935
"77";0,95;100;50;0;0,25;0,88653;0,88653;0,94995;0,94995
"78";0,95;100;50;1;10;0,97467;0,97227;0,95022;0,94969
"79";0,95;100;50;1;4;0,97423;0,97194;0,94982;0,94724
"80";0,95;100;50;1;2;0,97046;0,96826;0,95208;0,95098
"81";0,95;100;50;1;1;0,9497;0,947;0,95041;0,95436
"82";0,95;100;50;1;0,1;0,87665;0,87586;0,95106;0,95107
"83";0,95;100;50;1;0,5;0,9105;0,90755;0,95062;0,9521
"84";0,95;100;50;1;0,25;0,88653;0,88464;0,95136;0,95167
"85";0,95;100;50;2;10;0,9539;0,94822;0,95087;0,94972
"86";0,95;100;50;2;4;0,95622;0,9509;0,95069;0,94527
"87";0,95;100;50;2;2;0,95925;0,95411;0,95304;0,94994
"88";0,95;100;50;2;1;0,94974;0,94451;0,94949;0,95971
"89";0,95;100;50;2;0,1;0,87609;0,87468;0,95047;0,95049
"90";0,95;100;50;2;0,5;0,90982;0,90501;0,94884;0,95415
"91";0,95;100;50;2;0,25;0,88117;0,87759;0,95064;0,95149
"92";0,95;100;50;3;10;0,93976;0,93155;0,95173;0,95044
"93";0,95;100;50;3;4;0,94334;0,93567;0,9515;0,94429
"94";0,95;100;50;3;2;0,94918;0,94276;0,95176;0,9476
"95";0,95;100;50;3;1;0,95206;0,94541;0,94904;0,96397
"96";0,95;100;50;3;0,1;0,87329;0,8711;0,95014;0,95021
"97";0,95;100;50;3;0,5;0,91028;0,9034;0,94943;0,95705
"98";0,95;100;50;3;0,25;0,87845;0,87398;0,95148;0,95284
"99";0,95;100;50;4;10;0,93264;0,92401;0,95425;0,95293
"100";0,95;100;50;4;4;0,93341;0,92487;0,95165;0,94266
"101";0,95;100;50;4;2;0,94554;0,93749;0,95348;0,94863
"102";0,95;100;50;4;1;0,95122;0,94407;0,94838;0,96563
"103";0,95;100;50;4;0,1;0,8705;0,86755;0,95076;0,95084
"104";0,95;100;50;4;0,5;0,91286;0,90468;0,94926;0,95935
"105";0,95;100;50;4;0,25;0,87452;0,86872;0,95088;0,95292
"106";0,95;20;100;0;10;0,76723;0,76723;0,94869;0,94869
"107";0,95;20;100;0;4;0,7946;0,7946;0,9487;0,9487
