"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"1";0,95;100;100;0;10;0,94807;0,94807;0,9494;0,9494
"2";0,95;100;100;0;4;0,94895;0,94895;0,95014;0,95014
"3";0,95;100;100;0;2;0,94931;0,94931;0,94974;0,94974
"4";0,95;100;100;0;1;0,95019;0,95019;0,95019;0,95019
"5";0,95;100;100;0;0,1;0,94762;0,94762;0,94889;0,94889
"6";0,95;100;100;0;0,5;0,94947;0,94947;0,95;0,95
"7";0,95;100;100;0;0,25;0,94919;0,94919;0,95016;0,95016
"8";0,95;100;100;1;10;0,92818;0,92804;0,95122;0,95122
"9";0,95;100;100;1;4;0,93308;0,9333;0,95064;0,95064
"10";0,95;100;100;1;2;0,94392;0,94405;0,95099;0,95099
"11";0,95;100;100;1;1;0,94989;0,9502;0,95002;0,95002
"12";0,95;100;100;1;0,1;0,94912;0,9492;0,95064;0,95064
"13";0,95;100;100;1;0,5;0,94809;0,94778;0,95052;0,95052
"14";0,95;100;100;1;0,25;0,94792;0,94804;0,94991;0,94991
"15";0,95;100;100;2;10;0,89728;0,89747;0,95348;0,95348
"16";0,95;100;100;2;4;0,90831;0,90806;0,95198;0,95198
"17";0,95;100;100;2;2;0,93378;0,9334;0,95197;0,95197
"18";0,95;100;100;2;1;0,95164;0,95203;0,95192;0,95192
"19";0,95;100;100;2;0,1;0,94745;0,94754;0,94981;0,94981
"20";0,95;100;100;2;0,5;0,94319;0,94307;0,95036;0,95036
"21";0,95;100;100;2;0,25;0,94696;0,94711;0,95277;0,95277
"22";0,95;100;100;3;10;0,87628;0,87609;0,95294;0,95294
"23";0,95;100;100;3;4;0,89002;0,88984;0,95145;0,95145
"24";0,95;100;100;3;2;0,92572;0,92565;0,95236;0,95236
"25";0,95;100;100;3;1;0,95055;0,95038;0,95122;0,95122
"26";0,95;100;100;3;0,1;0,94547;0,94548;0,94904;0,94904
"27";0,95;100;100;3;0,5;0,93813;0,93791;0,95026;0,95026
"28";0,95;100;100;3;0,25;0,93928;0,93909;0,95037;0,95037
"29";0,95;100;100;4;10;0,86458;0,86455;0,95191;0,95191
"30";0,95;100;100;4;4;0,8829;0,88302;0,95398;0,95398
"31";0,95;100;100;4;2;0,92104;0,9206;0,95196;0,95196
"32";0,95;100;100;4;1;0,9531;0,9528;0,95391;0,95391
"33";0,95;100;100;4;0,1;0,94416;0,94408;0,94985;0,94985
"34";0,95;100;100;4;0,5;0,93395;0,93439;0,95138;0,95138
"35";0,95;100;100;4;0,25;0,932;0,93145;0,94997;0,94997
"36";0,95;100;20;0;10;0,99996;0,99996;0,95067;0,95067
"37";0,95;100;20;0;4;0,99987;0,99987;0,94947;0,94947
"38";0,95;100;20;0;2;0,99693;0,99693;0,95142;0,95142
"39";0,95;100;20;0;1;0,95082;0,95082;0,9502;0,9502
"40";0,95;100;20;0;0,1;0,62014;0,62014;0,95061;0,95061
"41";0,95;100;20;0;0,5;0,79788;0,79788;0,9496;0,9496
"42";0,95;100;20;0;0,25;0,67371;0,67371;0,94919;0,94919
"43";0,95;100;20;1;10;0,99953;0,99948;0,95121;0,94904
"44";0,95;100;20;1;4;0,99901;0,99891;0,9529;0,95163
"45";0,95;100;20;1;2;0,99487;0,99469;0,95109;0,96414
"46";0,95;100;20;1;1;0,95077;0,95096;0,95097;0,96319
"47";0,95;100;20;1;0,1;0,61667;0,61664;0,94963;0,94962
"48";0,95;100;20;1;0,5;0,80238;0,80261;0,95139;0,95416
"49";0,95;100;20;1;0,25;0,67547;0,67547;0,9502;0,95046
"50";0,95;100;20;2;10;0,99582;0,99509;0,95323;0,94814
"51";0,95;100;20;2;4;0,99491;0,99416;0,95663;0,95257
"52";0,95;100;20;2;2;0,98956;0,9891;0,95427;0,98074
"53";0,95;100;20;2;1;0,95216;0,95216;0,95246;0,98156
"54";0,95;100;20;2;0,1;0,61908;0,61936;0,94879;0,94881
"55";0,95;100;20;2;0,5;0,81286;0,81333;0,95221;0,96118
"56";0,95;100;20;2;0,25;0,67541;0,67539;0,95008;0,95111
"57";0,95;100;20;3;10;0,98729;0,98622;0,95226;0,94607
"58";0,95;100;20;3;4;0,98583;0,98522;0,95723;0,95208
"59";0,95;100;20;3;2;0,98155;0,98094;0,95406;0,9875
"60";0,95;100;20;3;1;0,95287;0,95266;0,95375;0,98977
"61";0,95;100;20;3;0,1;0,61984;0,61984;0,9503;0,95026
"62";0,95;100;20;3;0,5;0,82712;0,82771;0,95559;0,96981
"63";0,95;100;20;3;0,25;0,68165;0,68156;0,95155;0,95362
"64";0,95;100;20;4;10;0,97656;0,97541;0,95465;0,94765
"65";0,95;100;20;4;4;0,97449;0,97391;0,95779;0,9519
"66";0,95;100;20;4;2;0,97262;0,97225;0,95523;0,9905
"67";0,95;100;20;4;1;0,95312;0,95334;0,95526;0,99366
"68";0,95;100;20;4;0,1;0,61865;0,61903;0,95111;0,9512
"69";0,95;100;20;4;0,5;0,84222;0,84237;0,95692;0,97495
"70";0,95;100;20;4;0,25;0,687;0,68745;0,9545;0,95773
"71";0,95;100;50;0;10;0,99319;0,99319;0,94973;0,94973
"72";0,95;100;50;0;4;0,99159;0,99159;0,95188;0,95188
"73";0,95;100;50;0;2;0,98345;0,98345;0,94927;0,94927
"74";0,95;100;50;0;1;0,94979;0,94979;0,94987;0,94987
"75";0,95;100;50;0;0,1;0,83351;0,83351;0,95086;0,95086
"76";0,95;100;50;0;0,5;0,88859;0,88859;0,94894;0,94894
"77";0,95;100;50;0;0,25;0,8476;0,8476;0,94892;0,94892
"78";0,95;100;50;1;10;0,98462;0,98429;0,95111;0,95043
"79";0,95;100;50;1;4;0,98419;0,98373;0,95102;0,94813
"80";0,95;100;50;1;2;0,97729;0,97701;0,95086;0,94897
"81";0,95;100;50;1;1;0,94956;0,9499;0,94992;0,95385
"82";0,95;100;50;1;0,1;0,83096;0,83086;0,9502;0,9502
"83";0,95;100;50;1;0,5;0,89214;0,892;0,95096;0,95238
"84";0,95;100;50;1;0,25;0,84977;0,84979;0,94966;0,94982
"85";0,95;100;50;2;10;0,96328;0,9626;0,95193;0,95049
"86";0,95;100;50;2;4;0,96382;0,96323;0,95214;0,94517
