"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"1";0,95;100;100;0;10;0,95045;0,95045;0,95182;0,95182
"2";0,95;100;100;0;4;0,9494;0,9494;0,95035;0,95035
"3";0,95;100;100;0;2;0,95097;0,95097;0,95133;0,95133
"4";0,95;100;100;0;1;0,95108;0,95108;0,95108;0,95108
"5";0,95;100;100;0;0,1;0,95011;0,95011;0,95124;0,95124
"6";0,95;100;100;0;0,5;0,94955;0,94955;0,95013;0,95013
"7";0,95;100;100;0;0,25;0,95119;0,95119;0,95226;0,95226
"8";0,95;100;100;1;10;0,80745;0,8055;0,84837;0,84837
"9";0,95;100;100;1;4;0,827;0,82501;0,858;0,858
"10";0,95;100;100;1;2;0,86343;0,86195;0,87502;0,87502
"11";0,95;100;100;1;1;0,90508;0,90457;0,90579;0,90579
"12";0,95;100;100;1;0,1;0,94752;0,94748;0,94915;0,94915
"13";0,95;100;100;1;0,5;0,92203;0,92168;0,92497;0,92497
"14";0,95;100;100;1;0,25;0,9408;0,94048;0,94318;0,94318
"15";0,95;100;100;2;10;0,67206;0,66797;0,7716;0,7716
"16";0,95;100;100;2;4;0,69691;0,69319;0,77761;0,77761
"17";0,95;100;100;2;2;0,7596;0,75673;0,79351;0,79351
"18";0,95;100;100;2;1;0,83014;0,82809;0,83256;0,83256
"19";0,95;100;100;2;0,1;0,94147;0,9414;0,9444;0,9444
"20";0,95;100;100;2;0,5;0,86688;0,86546;0,87832;0,87832
"21";0,95;100;100;2;0,25;0,90899;0,90847;0,91739;0,91739
"22";0,95;100;100;3;10;0,61498;0,60996;0,7429;0,7429
"23";0,95;100;100;3;4;0,64034;0,63552;0,7446;0,7446
"24";0,95;100;100;3;2;0,70493;0,6994;0,75322;0,75322
"25";0,95;100;100;3;1;0,7787;0,77493;0,78237;0,78237
"26";0,95;100;100;3;0,1;0,93239;0,93214;0,93709;0,93709
"27";0,95;100;100;3;0,5;0,80603;0,80335;0,82916;0,82916
"28";0,95;100;100;3;0,25;0,86869;0,86736;0,88724;0,88724
"29";0,95;100;100;4;10;0,58935;0,58465;0,73265;0,73265
"30";0,95;100;100;4;4;0,6128;0,60788;0,73242;0,73242
"31";0,95;100;100;4;2;0,67021;0,66507;0,72785;0,72785
"32";0,95;100;100;4;1;0,74623;0,74208;0,7509;0,7509
"33";0,95;100;100;4;0,1;0,91806;0,91757;0,92555;0,92555
"34";0,95;100;100;4;0,5;0,75917;0,75655;0,79334;0,79334
"35";0,95;100;100;4;0,25;0,82948;0,82717;0,85931;0,85931
"36";0,95;100;20;0;10;0,99995;0,99995;0,95045;0,95045
"37";0,95;100;20;0;4;0,99983;0,99983;0,9521;0,9521
"38";0,95;100;20;0;2;0,99614;0,99614;0,95282;0,95282
"39";0,95;100;20;0;1;0,94941;0,94941;0,95268;0,95268
"40";0,95;100;20;0;0,1;0,60695;0,60695;0,95442;0,95442
"41";0,95;100;20;0;0,5;0,80489;0,80489;0,95403;0,95403
"42";0,95;100;20;0;0,25;0,67456;0,67456;0,95342;0,95342
"43";0,95;100;20;1;10;0,98932;0,98903;0,8546;0,84812
"44";0,95;100;20;1;4;0,98685;0,98658;0,87453;0,87116
"45";0,95;100;20;1;2;0,97655;0,97604;0,88144;0,91801
"46";0,95;100;20;1;1;0,92946;0,92892;0,90258;0,94195
"47";0,95;100;20;1;0,1;0,6081;0,60806;0,95333;0,95341
"48";0,95;100;20;1;0,5;0,7952;0,7947;0,93259;0,94334
"49";0,95;100;20;1;0,25;0,66614;0,66574;0,94754;0,94871
"50";0,95;100;20;2;10;0,91852;0,9162;0,7779;0,76525
"51";0,95;100;20;2;4;0,91599;0,91395;0,79762;0,79192
"52";0,95;100;20;2;2;0,91141;0,90932;0,81255;0,88758
"53";0,95;100;20;2;1;0,87755;0,87553;0,84166;0,92753
"54";0,95;100;20;2;0,1;0,60299;0,60265;0,9504;0,9506
"55";0,95;100;20;2;0,5;0,7693;0,76811;0,89158;0,92198
"56";0,95;100;20;2;0,25;0,65397;0,65337;0,93179;0,93569
"57";0,95;100;20;3;10;0,838;0,834;0,74307;0,73048
"58";0,95;100;20;3;4;0,84165;0,83841;0,76084;0,75712
"59";0,95;100;20;3;2;0,84287;0,83843;0,78083;0,87279
"60";0,95;100;20;3;1;0,83208;0,82957;0,81118;0,92181
"61";0,95;100;20;3;0,1;0,59532;0,59453;0,94505;0,94538
"62";0,95;100;20;3;0,5;0,74313;0,74052;0,85988;0,90603
"63";0,95;100;20;3;0,25;0,63038;0,62877;0,91159;0,91921
"64";0,95;100;20;4;10;0,78531;0,77927;0,7312;0,71777
"65";0,95;100;20;4;4;0,79039;0,78451;0,74439;0,7402
"66";0,95;100;20;4;2;0,79627;0,79147;0,76425;0,86458
"67";0,95;100;20;4;1;0,79658;0,79171;0,79254;0,91756
"68";0,95;100;20;4;0,1;0,58795;0,58758;0,93842;0,93903
"69";0,95;100;20;4;0,5;0,72075;0,71723;0,83891;0,8944
"70";0,95;100;20;4;0,25;0,60722;0,6046;0,89233;0,90347
"71";0,95;100;50;0;10;0,99404;0,99404;0,95095;0,95095
"72";0,95;100;50;0;4;0,99154;0,99154;0,95011;0,95011
"73";0,95;100;50;0;2;0,98333;0,98333;0,95123;0,95123
"74";0,95;100;50;0;1;0,95078;0,95078;0,95149;0,95149
"75";0,95;100;50;0;0,1;0,83111;0,83111;0,95136;0,95136
"76";0,95;100;50;0;0,5;0,89157;0,89157;0,95207;0,95207
"77";0,95;100;50;0;0,25;0,85092;0,85092;0,95151;0,95151
"78";0,95;100;50;1;10;0,92134;0,92029;0,8539;0,85144
"79";0,95;100;50;1;4;0,92477;0,92318;0,86553;0,85687
"80";0,95;100;50;1;2;0,92743;0,92617;0,88812;0,88327
"81";0,95;100;50;1;1;0,91587;0,91506;0,90708;0,91923
"82";0,95;100;50;1;0,1;0,82861;0,82854;0,95101;0,95098
