"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"1";0,95;100;100;0;10;0,9081;0,9081;0,9094;0,9094
"2";0,95;100;100;0;4;0,91473;0,91473;0,91543;0,91543
"3";0,95;100;100;0;2;0,93596;0,93596;0,93631;0,93631
"4";0,95;100;100;0;1;0,9541;0,9541;0,95455;0,95455
"5";0,95;100;100;0;0,1;0,90707;0,90707;0,90828;0,90828
"6";0,95;100;100;0;0,5;0,93429;0,93429;0,93465;0,93465
"7";0,95;100;100;0;0,25;0,91444;0,91444;0,91525;0,91525
"8";0,95;100;100;1;10;0,59678;0,5931;0,6475;0,6475
"9";0,95;100;100;1;4;0,63785;0,63412;0,67471;0,67471
"10";0,95;100;100;1;2;0,69918;0,69604;0,71602;0,71602
"11";0,95;100;100;1;1;0,69025;0,68884;0,69434;0,69434
"12";0,95;100;100;1;0,1;0,84254;0,84242;0,8454;0,8454
"13";0,95;100;100;1;0,5;0,67685;0,67631;0,68112;0,68112
"14";0,95;100;100;1;0,25;0,7485;0,74808;0,75295;0,75295
"15";0,95;100;100;2;10;0,36627;0,36405;0,44319;0,44319
"16";0,95;100;100;2;4;0,39041;0,3883;0,45328;0,45328
"17";0,95;100;100;2;2;0,44987;0,44709;0,48299;0,48299
"18";0,95;100;100;2;1;0,4919;0,49005;0,50137;0,50137
"19";0,95;100;100;2;0,1;0,76595;0,76572;0,77134;0,77134
"20";0,95;100;100;2;0,5;0,5014;0,49976;0,51485;0,51485
"21";0,95;100;100;2;0,25;0,59647;0,59615;0,60768;0,60768
"22";0,95;100;100;3;10;0,30465;0,30272;0,39225;0,39225
"23";0,95;100;100;3;4;0,32442;0,32212;0,39847;0,39847
"24";0,95;100;100;3;2;0,37514;0,37273;0,41451;0,41451
"25";0,95;100;100;3;1;0,41131;0,40899;0,42394;0,42394
"26";0,95;100;100;3;0,1;0,69192;0,69161;0,70026;0,70026
"27";0,95;100;100;3;0,5;0,41327;0,41182;0,43483;0,43483
"28";0,95;100;100;3;0,25;0,49421;0,49332;0,5148;0,5148
"29";0,95;100;100;4;10;0,28016;0,27831;0,37056;0,37056
"30";0,95;100;100;4;4;0,29743;0,29501;0,37323;0,37323
"31";0,95;100;100;4;2;0,34099;0,33843;0,38349;0,38349
"32";0,95;100;100;4;1;0,37454;0,37282;0,38925;0,38925
"33";0,95;100;100;4;0,1;0,62622;0,6257;0,63737;0,63737
"34";0,95;100;100;4;0,5;0,36589;0,3643;0,39269;0,39269
"35";0,95;100;100;4;0,25;0,42751;0,42657;0,45599;0,45599
"36";0,95;100;20;0;10;0,99325;0,99325;0,91765;0,91765
"37";0,95;100;20;0;4;0,99042;0,99042;0,94231;0,94231
"38";0,95;100;20;0;2;0,98014;0,98014;0,95848;0,95848
"39";0,95;100;20;0;1;0,95309;0,95309;0,89611;0,89611
"40";0,95;100;20;0;0,1;0,5565;0,5565;0,83498;0,83498
"41";0,95;100;20;0;0,5;0,78768;0,78768;0,84919;0,84919
"42";0,95;100;20;0;0,25;0,62489;0,62489;0,83613;0,83613
"43";0,95;100;20;1;10;0,9031;0,90016;0,6656;0,65319
"44";0,95;100;20;1;4;0,90085;0,89762;0,64622;0,68897
"45";0,95;100;20;1;2;0,87623;0,87327;0,55044;0,70302
"46";0,95;100;20;1;1;0,7815;0,7791;0,52872;0,66724
"47";0,95;100;20;1;0,1;0,474;0,47433;0,78384;0,7847
"48";0,95;100;20;1;0,5;0,59453;0,59306;0,62196;0,66885
"49";0,95;100;20;1;0,25;0,47906;0,47894;0,724;0,73241
"50";0,95;100;20;2;10;0,60789;0,60359;0,45509;0,44167
"51";0,95;100;20;2;4;0,61213;0,60806;0,46647;0,48085
"52";0,95;100;20;2;2;0,61931;0,61521;0,43401;0,55169
"53";0,95;100;20;2;1;0,58763;0,58488;0,42405;0,56211
"54";0,95;100;20;2;0,1;0,41232;0,41257;0,73987;0,74117
"55";0,95;100;20;2;0,5;0,47187;0,46976;0,4868;0,5477
"56";0,95;100;20;2;0,25;0,38331;0,38251;0,60797;0,62369
"57";0,95;100;20;3;10;0,47373;0,47011;0,39649;0,38473
"58";0,95;100;20;3;4;0,47919;0,47591;0,41554;0,4214
"59";0,95;100;20;3;2;0,49097;0,48699;0,40079;0,50239
"60";0,95;100;20;3;1;0,48679;0,48367;0,39205;0,52564
"61";0,95;100;20;3;0,1;0,36315;0,36312;0,69381;0,69559
"62";0,95;100;20;3;0,5;0,40476;0,40223;0,43219;0,49557
"63";0,95;100;20;3;0,25;0,32942;0,32874;0,53205;0,54915
"64";0,95;100;20;4;10;0,41567;0,41181;0,38044;0,36828
