"n1";"n2";"m1";"m2";"sd1";"sd2";"C.P_cohen.d";"C.P_glass1.d";"C.P_glass2.d";"C.P_cohen.dprime";"C.P_shieh.d";"C.P_hedges.g";"C.P_glass1.g";"C.P_glass2.g";"C.P_hedges.gprime";"C.P_shieh.g"
"1";100;100;0;0;1;0,1;0,94824;0,94947;0,94947;0,94947;0,94947;0,94824;0,94947;0,94947;0,94947;0,94947
"2";100;100;0;0;1;0,25;0,9488;0,95033;0,95033;0,94996;0,94996;0,9488;0,95033;0,95033;0,94996;0,94996
"3";100;100;0;0;1;0,5;0,94933;0,95073;0,95073;0,94974;0,94974;0,94933;0,95073;0,95073;0,94974;0,94974
"4";100;100;0;0;1;1;0,94915;0,95042;0,95042;0,94916;0,94916;0,94915;0,95042;0,95042;0,94916;0,94916
"5";100;100;0;0;1;10;0,94797;0,94947;0,94947;0,94945;0,94945;0,94797;0,94947;0,94947;0,94945;0,94945
"6";100;100;0;0;1;2;0,94936;0,9509;0,9509;0,94988;0,94988;0,94936;0,9509;0,9509;0,94988;0,94988
"7";100;100;0;0;1;4;0,94892;0,95029;0,95029;0,95007;0,95007;0,94892;0,95029;0,95029;0,95007;0,95007
"8";100;100;1;0;1;0,1;0,92837;0,9521;0,95093;0,95194;0,95194;0,92816;0,95116;0,94876;0,95096;0,95096
"9";100;100;1;0;1;0,25;0,93357;0,95145;0,95111;0,95099;0,95099;0,93354;0,95027;0,94906;0,95003;0,95003
"10";100;100;1;0;1;0,5;0,94413;0,95134;0,94969;0,95092;0,95092;0,94391;0,9503;0,94755;0,95039;0,95039
"11";100;100;1;0;1;1;0,95089;0,95215;0,95127;0,95105;0,95105;0,95053;0,95117;0,95032;0,95063;0,95063
"12";100;100;1;0;1;10;0,94793;0,9495;0,94959;0,9495;0,9495;0,94796;0,94951;0,9495;0,94946;0,94946
"13";100;100;1;0;1;2;0,94817;0,9514;0,95107;0,95058;0,95058;0,94828;0,95067;0,95046;0,95043;0,95043
"14";100;100;1;0;1;4;0,94802;0,9504;0,9508;0,95053;0,95053;0,94803;0,95009;0,95069;0,95036;0,95036
"15";100;20;0;0;1;0,1;0,99995;0,94942;0,96061;0,94936;0,9492;0,99995;0,94942;0,96061;0,94936;0,9492
"16";100;20;0;0;1;0,25;0,99979;0,95032;0,96155;0,95009;0,95005;0,99979;0,95032;0,96155;0,95009;0,95005
"17";100;20;0;0;1;0,5;0,99705;0,94827;0,95968;0,94788;0,95037;0,99705;0,94827;0,95968;0,94788;0,95037
"18";100;20;0;0;1;1;0,95005;0,94313;0,95504;0,94435;0,94969;0,95005;0,94313;0,95504;0,94435;0,94969
"19";100;20;0;0;1;10;0,61651;0,93778;0,94966;0,94931;0,94957;0,61651;0,93778;0,94966;0,94931;0,94957
"20";100;20;0;0;1;2;0,79835;0,93937;0,95056;0,94525;0,94908;0,79835;0,93937;0,95056;0,94525;0,94908
"21";100;20;0;0;1;4;0,67574;0,93805;0,94991;0,94778;0,94943;0,67574;0,93805;0,94991;0,94778;0,94943
