"n1";"n2";"m1";"m2";"sd1";"sd2";"C.P_cohen.d";"C.P_glass1.d";"C.P_glass2.d";"C.P_cohen.dprime";"C.P_shieh.d";"C.P_hedges.g";"C.P_glass1.g";"C.P_glass2.g";"C.P_hedges.gprime";"C.P_shieh.g"
"1";100;100;0;0;1;0,1;0,95063;0,95197;0,95198;0,95189;0,95189;0,95063;0,95197;0,95198;0,95189;0,95189
"2";100;100;0;0;1;0,25;0,95055;0,95182;0,95181;0,95155;0,95155;0,95055;0,95182;0,95181;0,95155;0,95155
"3";100;100;0;0;1;0,5;0,94945;0,95087;0,95086;0,94995;0,94995;0,94945;0,95087;0,95086;0,94995;0,94995
"4";100;100;0;0;1;1;0,95128;0,95252;0,95252;0,95132;0,95132;0,95128;0,95252;0,95252;0,95132;0,95132
"5";100;100;0;0;1;10;0,94997;0,9515;0,9515;0,95141;0,95141;0,94997;0,9515;0,9515;0,95141;0,95141
"6";100;100;0;0;1;2;0,95113;0,95257;0,95257;0,95153;0,95153;0,95113;0,95257;0,95257;0,95153;0,95153
"7";100;100;0;0;1;4;0,94938;0,95099;0,95099;0,95057;0,95057;0,94938;0,95099;0,95099;0,95057;0,95057
"8";100;100;1;0;1;0,1;0,80885;0,84973;0,85176;0,85039;0,85039;0,81087;0,8514;0,85157;0,85234;0,85234
"9";100;100;1;0;1;0,25;0,82695;0,85262;0,85256;0,85686;0,85686;0,8285;0,85433;0,85357;0,85835;0,85835
"10";100;100;1;0;1;0,5;0,86683;0,8641;0,86271;0,87828;0,87828;0,86746;0,86487;0,86333;0,87904;0,87904
"11";100;100;1;0;1;1;0,90726;0,8895;0,88857;0,90776;0,90776;0,90728;0,88933;0,8889;0,90785;0,90785
"12";100;100;1;0;1;10;0,948;0,94919;0,94976;0,94979;0,94979;0,94799;0,94914;0,94973;0,94974;0,94974
"13";100;100;1;0;1;2;0,92339;0,9192;0,91974;0,92646;0,92646;0,92355;0,91876;0,9201;0,92622;0,92622
"14";100;100;1;0;1;4;0,93987;0,93978;0,9423;0,94281;0,94281;0,94007;0,93965;0,94243;0,943;0,943
"15";100;20;0;0;1;0,1;0,99998;0,9519;0,96284;0,9518;0,95159;0,99998;0,9519;0,96284;0,9518;0,95159
"16";100;20;0;0;1;0,25;0,99984;0,95271;0,96394;0,95244;0,95253;0,99984;0,95271;0,96394;0,95244;0,95253
"17";100;20;0;0;1;0,5;0,99586;0,9497;0,96131;0,94939;0,95176;0,99586;0,9497;0,96131;0,94939;0,95176
"18";100;20;0;0;1;1;0,94862;0,94565;0,95715;0,94698;0,95219;0,94862;0,94565;0,95715;0,94698;0,95219
"19";100;20;0;0;1;10;0,60946;0,94129;0,95326;0,95291;0,9532;0,60946;0,94129;0,95326;0,95291;0,9532
"20";100;20;0;0;1;2;0,80217;0,94375;0,95561;0,94968;0,95383;0,80217;0,94375;0,95561;0,94968;0,95383
"21";100;20;0;0;1;4;0,67172;0,94159;0,95384;0,95158;0,95332;0,67172;0,94159;0,95384;0,95158;0,95332
"22";100;20;1;0;1;0,1;0,98921;0,85253;0,84763;0,8532;0,85562;0,98941;0,85383;0,84633;0,85503;0,85794
"23";100;20;1;0;1;0,25;0,9869;0,86673;0,8513;0,87048;0,87452;0,98702;0,86788;0,85085;0,87161;0,87509
"24";100;20;1;0;1;0,5;0,97778;0,8924;0,86729;0,89792;0,88248;0,97817;0,89222;0,86669;0,89827;0,88181
"25";100;20;1;0;1;1;0,92687;0,91659;0,90246;0,91472;0,90222;0,92737;0,91609;0,902;0,91472;0,90069
"26";100;20;1;0;1;10;0,60692;0,9415;0,95233;0,95185;0,9522;0,60699;0,94152;0,95221;0,95189;0,95214
"27";100;20;1;0;1;2;0,79399;0,93342;0,93325;0,93131;0,93182;0,79431;0,93309;0,9334;0,9309;0,93162
"28";100;20;1;0;1;4;0,67024;0,93799;0,94807;0,9458;0,94756;0,6701;0,93769;0,94759;0,94577;0,94704
"29";100;50;0;0;1;0,1;0,994;0,95135;0,95417;0,95129;0,9512;0,994;0,95135;0,95417;0,95129;0,9512
"30";100;50;0;0;1;0,25;0,99198;0,95205;0,95499;0,95171;0,95148;0,99198;0,95205;0,95499;0,95171;0,95148
"31";100;50;0;0;1;0,5;0,98288;0,95165;0,95445;0,95093;0,95078;0,98288;0,95165;0,95445;0,95093;0,95078
"32";100;50;0;0;1;1;0,94994;0,9508;0,95349;0,95018;0,95078;0,94994;0,9508;0,95349;0,95018;0,95078
"33";100;50;0;0;1;10;0,83262;0,95033;0,9532;0,9531;0,95314;0,83262;0,95033;0,9532;0,9531;0,95314
"34";100;50;0;0;1;2;0,89146;0,94919;0,95182;0,94985;0,95063;0,89146;0,94919;0,95182;0,94985;0,95063
"35";100;50;0;0;1;4;0,85012;0,94961;0,95267;0,95187;0,95228;0,85012;0,94961;0,95267;0,95187;0,95228
"36";100;50;1;0;1;0,1;0,92142;0,84972;0,8404;0,85051;0,85152;0,92246;0,85171;0,84155;0,85257;0,85344
"37";100;50;1;0;1;0,25;0,92406;0,85776;0,84336;0,86218;0,86517;0,92482;0,86021;0,84459;0,86357;0,86704
"38";100;50;1;0;1;0,5;0,92527;0,87152;0,85896;0,8833;0,88612;0,9262;0,87271;0,8583;0,8835;0,88682
"39";100;50;1;0;1;1;0,91446;0,90349;0,89152;0,91222;0,90658;0,91485;0,90334;0,89249;0,91251;0,90698
"40";100;50;1;0;1;10;0,82914;0,94766;0,95076;0,95063;0,95067;0,82928;0,94768;0,95071;0,95066;0,95067
"41";100;50;1;0;1;2;0,86805;0,92902;0,92638;0,93014;0,92829;0,86811;0,92864;0,92674;0,93042;0,92866
"42";100;50;1;0;1;4;0,8379;0,9428;0,94421;0,9443;0,94426;0,83807;0,94277;0,94442;0,94439;0,94448
"43";20;100;0;0;1;0,1;0,60833;0,95458;0,94291;0,95424;0,95449;0,60833;0,95458;0,94291;0,95424;0,95449
"44";20;100;0;0;1;0,25;0,67158;0,95466;0,94265;0,95246;0,95415;0,67158;0,95466;0,94265;0,95246;0,95415
"45";20;100;0;0;1;0,5;0,80254;0,95517;0,94306;0,94885;0,95311;0,80254;0,95517;0,94306;0,94885;0,95311
"46";20;100;0;0;1;1;0,94817;0,95758;0,94589;0,94717;0,95219;0,94817;0,95758;0,94589;0,94717;0,95219
"47";20;100;0;0;1;10;0,99994;0,96264;0,95152;0,95152;0,95134;0,99994;0,96264;0,95152;0,95152;0,95134
"48";20;100;0;0;1;2;0,99589;0,96063;0,94937;0,9491;0,95147;0,99589;0,96063;0,94937;0,9491;0,95147
"49";20;100;0;0;1;4;0,99982;0,96238;0,95144;0,95111;0,95126;0,99982;0,96238;0,95144;0,95111;0,95126
"50";20;100;1;0;1;0,1;0,51585;0,89096;0,90484;0,89047;0,89088;0,51786;0,89274;0,90393;0,89177;0,89258
"51";20;100;1;0;1;0,25;0,60775;0,89174;0,90541;0,8893;0,89105;0,60977;0,89233;0,90516;0,8894;0,89192
"52";20;100;1;0;1;0,5;0,77106;0,895;0,90984;0,89421;0,89298;0,77229;0,89668;0,90929;0,89377;0,8935
"53";20;100;1;0;1;1;0,92776;0,90396;0,91635;0,91472;0,9023;0,92829;0,90373;0,91619;0,91471;0,90192
"54";20;100;1;0;1;10;0,99998;0,95575;0,94957;0,9496;0,9495;0,99998;0,95457;0,94976;0,94966;0,94962
"55";20;100;1;0;1;2;0,99256;0,92123;0,93213;0,93407;0,92918;0,99273;0,91878;0,93193;0,93446;0,92855
"56";20;100;1;0;1;4;0,99974;0,94068;0,94245;0,94289;0,94358;0,99974;0,93732;0,94278;0,94315;0,94354
"57";20;20;0;0;1;0,1;0,94712;0,95425;0,95425;0,95392;0,95392;0,94712;0,95425;0,95425;0,95392;0,95392
"58";20;20;0;0;1;0,25;0,94797;0,95549;0,9555;0,95325;0,95325;0,94797;0,95549;0,9555;0,95325;0,95325
"59";20;20;0;0;1;0,5;0,9516;0,95867;0,95867;0,95403;0,95403;0,9516;0,95867;0,95867;0,95403;0,95403
"60";20;20;0;0;1;1;0,953;0,95989;0,9599;0,9537;0,9537;0,953;0,95989;0,9599;0,9537;0,9537
"61";20;20;0;0;1;10;0,94656;0,95352;0,95352;0,95308;0,95308;0,94656;0,95352;0,95352;0,95308;0,95308
"62";20;20;0;0;1;2;0,95021;0,95771;0,95771;0,95269;0,95269;0,95021;0,95771;0,95771;0,95269;0,95269
"63";20;20;0;0;1;4;0,95009;0,95696;0,95696;0,95521;0,95521;0,95009;0,95696;0,95696;0,95521;0,95521
"64";20;20;1;0;1;0,1;0,84734;0,89455;0,89299;0,89374;0,89374;0,85138;0,89551;0,88639;0,89484;0,89484
"65";20;20;1;0;1;0,25;0,86175;0,89574;0,89511;0,8941;0,8941;0,86503;0,89658;0,88871;0,89436;0,89436
"66";20;20;1;0;1;0,5;0,89566;0,90488;0,90297;0,90641;0,90641;0,89736;0,90422;0,8982;0,90645;0,90645
"67";20;20;1;0;1;1;0,92447;0,92183;0,92243;0,92637;0,92637;0,9247;0,91921;0,91941;0,92613;0,92613
"68";20;20;1;0;1;10;0,94627;0,95253;0,95335;0,95295;0,95295;0,94635;0,95219;0,95354;0,95318;0,95318
"69";20;20;1;0;1;2;0,93391;0,93905;0,94071;0,93834;0,93834;0,93451;0,93593;0,93971;0,93833;0,93833
"70";20;20;1;0;1;4;0,94175;0,94699;0,95051;0,94874;0,94874;0,94193;0,94564;0,95029;0,94848;0,94848
"71";20;50;0;0;1;0,1;0,77637;0,95399;0,94514;0,95364;0,95382;0,77637;0,95399;0,94514;0,95364;0,95382
"72";20;50;0;0;1;0,25;0,80549;0,95535;0,94604;0,95303;0,95452;0,80549;0,95535;0,94604;0,95303;0,95452
"73";20;50;0;0;1;0,5;0,87118;0,95706;0,94819;0,95144;0,95394;0,87118;0,95706;0,94819;0,95144;0,95394
"74";20;50;0;0;1;1;0,95071;0,95951;0,95063;0,95017;0,95243;0,95071;0,95951;0,95063;0,95017;0,95243
"75";20;50;0;0;1;10;0,99773;0,96213;0,95379;0,95366;0,9535;0,99773;0,96213;0,95379;0,95366;0,9535
"76";20;50;0;0;1;2;0,98812;0,96143;0,9527;0,9513;0,95156;0,98812;0,96143;0,9527;0,9513;0,95156
"77";20;50;0;0;1;4;0,99582;0,96081;0,95244;0,9518;0,95125;0,99582;0,96081;0,95244;0,9518;0,95125
"78";20;50;1;0;1;0,1;0,65385;0,89001;0,89605;0,88911;0,88961;0,65675;0,89089;0,89469;0,88993;0,8904
"79";20;50;1;0;1;0,25;0,71303;0,89366;0,89666;0,89072;0,89193;0,71655;0,89506;0,89541;0,8917;0,89327
"80";20;50;1;0;1;0,5;0,81784;0,89728;0,90191;0,89736;0,8955;0,81953;0,89803;0,90058;0,89719;0,89492
"81";20;50;1;0;1;1;0,92377;0,91058;0,91375;0,91937;0,91404;0,92402;0,90825;0,91316;0,91939;0,91299
"82";20;50;1;0;1;10;0,99744;0,9565;0,95045;0,95039;0,95022;0,99749;0,95555;0,95055;0,95046;0,9503
"83";20;50;1;0;1;2;0,98023;0,93112;0,9334;0,93567;0,93592;0,98057;0,92802;0,93343;0,9359;0,93568
"84";20;50;1;0;1;4;0,99458;0,94668;0,94592;0,94562;0,9455;0,9947;0,94401;0,9459;0,94592;0,94568
"85";50;100;0;0;1;0,1;0,83279;0,95275;0,95;0,9526;0,95265;0,83279;0,95275;0,95;0,9526;0,95265
"86";50;100;0;0;1;0,25;0,85005;0,95189;0,94894;0,95122;0,95148;0,85005;0,95189;0,94894;0,95122;0,95148
"87";50;100;0;0;1;0,5;0,89205;0,95259;0,94966;0,95041;0,95126;0,89205;0,95259;0,94966;0,95041;0,95126
"88";50;100;0;0;1;1;0,9517;0,95526;0,95266;0,95197;0,95264;0,9517;0,95526;0,95266;0,95197;0,95264
"89";50;100;0;0;1;10;0,99436;0,95401;0,95113;0,95106;0,95101;0,99436;0,95401;0,95113;0,95106;0,95101
"90";50;100;0;0;1;2;0,98293;0,95374;0,95081;0,95011;0,94997;0,98293;0,95374;0,95081;0,95011;0,94997
"91";50;100;0;0;1;4;0,99212;0,95427;0,95143;0,95108;0,95088;0,99212;0,95427;0,95143;0,95108;0,95088
"92";50;100;1;0;1;0,1;0,68267;0,86645;0,87969;0,86658;0,86654;0,68442;0,86881;0,8795;0,86923;0,86901
"93";50;100;1;0;1;0,25;0,73041;0,86822;0,88374;0,87128;0,8695;0,73246;0,87077;0,88305;0,87279;0,87181
"94";50;100;1;0;1;0,5;0,81794;0,87479;0,88845;0,88528;0,88065;0,81941;0,87695;0,88859;0,8865;0,88172
"95";50;100;1;0;1;1;0,91292;0,8891;0,90233;0,91046;0,90524;0,91323;0,88942;0,90234;0,91089;0,90552
"96";50;100;1;0;1;10;0,99375;0,94986;0,94883;0,94876;0,94873;0,99374;0,94969;0,94887;0,94875;0,94873
"97";50;100;1;0;1;2;0,96887;0,91667;0,92441;0,92863;0,93004;0,969;0,91606;0,92449;0,92885;0,93021
"98";50;100;1;0;1;4;0,98841;0,93681;0,94223;0,94258;0,94337;0,98846;0,93586;0,94231;0,94286;0,94335
"99";50;20;0;0;1;0,1;0,9977;0,95318;0,96193;0,95309;0,95298;0,9977;0,95318;0,96193;0,95309;0,95298
"100";50;20;0;0;1;0,25;0,99601;0,95258;0,96176;0,95207;0,95149;0,99601;0,95258;0,96176;0,95207;0,95149
"101";50;20;0;0;1;0,5;0,98857;0,95264;0,96055;0,95143;0,95175;0,98857;0,95264;0,96055;0,95143;0,95175
"102";50;20;0;0;1;1;0,95007;0,95091;0,95926;0,95038;0,95281;0,95007;0,95091;0,95926;0,95038;0,95281
"103";50;20;0;0;1;10;0,77537;0,94455;0,9539;0,95344;0,95374;0,77537;0,94455;0,9539;0,95344;0,95374
"104";50;20;0;0;1;2;0,87209;0,94898;0,9575;0,95215;0,95461;0,87209;0,94898;0,9575;0,95215;0,95461
"105";50;20;0;0;1;4;0,80597;0,94553;0,95457;0,95227;0,95348;0,80597;0,94553;0,95457;0,95227;0,95348
"106";50;20;1;0;1;0,1;0,95381;0,86806;0,86829;0,86825;0,86889;0,95492;0,87037;0,86379;0,87067;0,87122
"107";50;20;1;0;1;0,25;0,95564;0,87745;0,87318;0,88043;0,88386;0,95695;0,8794;0,86817;0,8813;0,88551
"108";50;20;1;0;1;0,5;0,95109;0,89412;0,88488;0,89996;0,90187;0,95225;0,89426;0,88105;0,90084;0,90242
"109";50;20;1;0;1;1;0,92433;0,91576;0,91226;0,91955;0,91453;0,92474;0,91478;0,91091;0,9202;0,91418
"110";50;20;1;0;1;10;0,77376;0,94372;0,9526;0,95226;0,95245;0,77385;0,94378;0,95264;0,95225;0,95244
"111";50;20;1;0;1;2;0,85573;0,93278;0,93703;0,93424;0,93468;0,85632;0,93227;0,93678;0,93411;0,93459
"112";50;20;1;0;1;4;0,79733;0,94044;0,94811;0,94625;0,94722;0,79756;0,93996;0,94838;0,94634;0,94741
"113";50;50;0;0;1;0,1;0,9489;0,95189;0,95189;0,95178;0,95178;0,9489;0,95189;0,95189;0,95178;0,95178
"114";50;50;0;0;1;0,25;0,95054;0,95346;0,95346;0,9526;0,9526;0,95054;0,95346;0,95346;0,9526;0,9526
"115";50;50;0;0;1;0,5;0,95109;0,95399;0,95399;0,95222;0,95222;0,95109;0,95399;0,95399;0,95222;0,95222
"116";50;50;0;0;1;1;0,95198;0,9548;0,95481;0,9522;0,9522;0,95198;0,9548;0,95481;0,9522;0,9522
"117";50;50;0;0;1;10;0,94928;0,95225;0,95227;0,95216;0,95216;0,94928;0,95225;0,95227;0,95216;0,95216
"118";50;50;0;0;1;2;0,95226;0,95501;0,95501;0,95324;0,95324;0,95226;0,95501;0,95501;0,95324;0,95324
"119";50;50;0;0;1;4;0,94942;0,9523;0,9523;0,95156;0,95156;0,94942;0,9523;0,9523;0,95156;0,95156
"120";50;50;1;0;1;0,1;0,82414;0,86665;0,86828;0,86698;0,86698;0,82642;0,86902;0,8668;0,86916;0,86916
"121";50;50;1;0;1;0,25;0,84231;0,87032;0,87046;0,87305;0,87305;0,84457;0,87245;0,86983;0,87486;0,87486
"122";50;50;1;0;1;0,5;0,8791;0,88091;0,88079;0,88994;0,88994;0,88047;0,8824;0,87923;0,89048;0,89048
"123";50;50;1;0;1;1;0,91417;0,9023;0,90182;0,91519;0,91519;0,91467;0,90254;0,90162;0,9154;0,9154
"124";50;50;1;0;1;10;0,94754;0,94928;0,95076;0,95069;0,95069;0,94763;0,94935;0,9508;0,95071;0,95071
"125";50;50;1;0;1;2;0,92814;0,92605;0,92876;0,93129;0,93129;0,9286;0,92506;0,92917;0,93154;0,93154
"126";50;50;1;0;1;4;0,93992;0,94227;0,94374;0,94356;0,94356;0,9399;0,94188;0,94341;0,9434;0,9434
