"n1";"n2";"m1";"m2";"sd1";"sd2";"C.P_cohen.d";"C.P_glass1.d";"C.P_glass2.d";"C.P_cohen.dprime";"C.P_shieh.d";"C.P_hedges.g";"C.P_glass1.g";"C.P_glass2.g";"C.P_hedges.gprime";"C.P_shieh.g"
"1";100;100;0;0;1;0,1;0,94714;0,94862;0,94861;0,94852;0,94852;0,94714;0,94862;0,94861;0,94852;0,94852
"2";100;100;0;0;1;0,25;0,94653;0,94824;0,94822;0,94773;0,94773;0,94653;0,94824;0,94822;0,94773;0,94773
"3";100;100;0;0;1;0,5;0,94951;0,95073;0,95073;0,95004;0,95004;0,94951;0,95073;0,95073;0,95004;0,95004
"4";100;100;0;0;1;1;0,95116;0,95262;0,95262;0,95122;0,95122;0,95116;0,95262;0,95262;0,95122;0,95122
"5";100;100;0;0;1;10;0,94622;0,94787;0,94787;0,9478;0,9478;0,94622;0,94787;0,94787;0,9478;0,9478
"6";100;100;0;0;1;2;0,94864;0,95016;0,95016;0,94917;0,94917;0,94864;0,95016;0,95016;0,94917;0,94917
"7";100;100;0;0;1;4;0,94825;0,94946;0,94947;0,94919;0,94919;0,94825;0,94946;0,94947;0,94919;0,94919
"8";100;100;1;0;1;0,1;0,68824;0,73546;0,82693;0,73661;0,73661;0,69008;0,73895;0,8291;0,73984;0,73984
"9";100;100;1;0;1;0,25;0,7136;0,74224;0,83992;0,74945;0,74945;0,71557;0,74512;0,84194;0,75204;0,75204
"10";100;100;1;0;1;0,5;0,77988;0,7618;0,87199;0,79312;0,79312;0,78122;0,76481;0,87374;0,79496;0,79496
"11";100;100;1;0;1;1;0,8913;0,81561;0,92421;0,8921;0,8921;0,89212;0,81662;0,92526;0,89297;0,89297
"12";100;100;1;0;1;10;0,95783;0,94217;0,95915;0,95902;0,95902;0,9578;0,94159;0,95911;0,95894;0,95894
"13";100;100;1;0;1;2;0,95616;0,88028;0,96634;0,95853;0,95853;0,9561;0,87984;0,9665;0,95877;0,95877
"14";100;100;1;0;1;4;0,96609;0,92406;0,96935;0,96777;0,96777;0,96605;0,92327;0,96916;0,96751;0,96751
