"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,9834;0,98377;0,98377;1,00000000000655e-05;1,00000000000655e-05;1,00000000000655e-05
"2";0,95;100;100;0;4;0,98125;0,98161;0,98161;0;0;0
"3";0,95;100;100;0;2;0,97538;0,97584;0,97584;0;0;0
"4";0,95;100;100;0;1;0,95079;0,95106;0,95106;1,00000000000655e-05;1,00000000000655e-05;1,00000000000655e-05
"5";0,95;100;100;0;0,1;0,87646;0,87745;0,87745;0;0;0
"6";0,95;100;100;0;0,5;0,90957;0,9097;0,9097;0;9,99999999995449e-06;9,99999999995449e-06
"7";0,95;100;100;0;0,25;0,88421;0,88486;0,88486;2,000000000002e-05;9,99999999995449e-06;9,99999999995449e-06
"8";0,95;100;100;1;10;0;0;0;0;0;0
"9";0,95;100;100;1;4;0;0;0;0;0;0
"10";0,95;100;100;1;2;0;0;0;0;0;0
"11";0,95;100;100;1;1;0,00068;0,00069;0,00069;0;0;0
"12";0,95;100;100;1;0,1;0,61946;0,62129;0,62129;0;0;0
"13";0,95;100;100;1;0,5;0,02799;0,02827;0,02827;0;0;0
"14";0,95;100;100;1;0,25;0,23974;0,24111;0,24111;2,000000000002e-05;9,99999999998225e-06;9,99999999998225e-06
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0,33854;0,34042;0,34042;0;0;0
"20";0,95;100;100;2;0,5;0,00046;0,00046;0,00046;0;0;0
"21";0,95;100;100;2;0,25;0,02383;0,02416;0,02416;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,15133;0,1525;0,1525;0;0;0
"27";0,95;100;100;3;0,5;1e-04;1e-04;1e-04;0;0;0
"28";0,95;100;100;3;0,25;0,00246;0,0025;0,0025;0;1e-05;1e-05
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0,05898;0,05949;0,05949;9,99999999999612e-06;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;0,00046;0,00047;0,00047;0;0;0
"36";0,95;100;20;0;10;1;0,98278;0,98278;0;0;0
"37";0,95;100;20;0;4;1;0,97379;0,97379;0;0;0
"38";0,95;100;20;0;2;0,99998;0,93814;0,93814;0;0;0
"39";0,95;100;20;0;1;0,98093;0,85626;0,85626;0;0;0
"40";0,95;100;20;0;0,1;0,63869;0,79549;0,79549;0;0;0
