"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,94807;0,9494;0,9494;0;0;0
"2";0,95;100;100;0;4;0,94895;0,95014;0,95014;0;0;0
"3";0,95;100;100;0;2;0,94931;0,94974;0,94974;0;0;0
"4";0,95;100;100;0;1;0,95019;0,95019;0,95019;0;0;0
"5";0,95;100;100;0;0,1;0,94762;0,94889;0,94889;0;0;0
"6";0,95;100;100;0;0,5;0,94947;0,95;0,95;0;0;0
"7";0,95;100;100;0;0,25;0,94919;0,95016;0,95016;0;0;0
"8";0,95;100;100;1;10;0;0;0;0;0;0
"9";0,95;100;100;1;4;0;0;0;0;0;0
"10";0,95;100;100;1;2;0;0;0;0;0;0
"11";0,95;100;100;1;1;0;0;0;0;0;0
"12";0,95;100;100;1;0,1;0,83044;0,8336;0,8336;0;0;0
"13";0,95;100;100;1;0,5;0,00636;0,00645;0,00645;0;0;0
"14";0,95;100;100;1;0,25;0,32423;0,32755;0,32755;0;0;0
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0,49016;0,49487;0,49487;0;0;0
"20";0,95;100;100;2;0,5;0;0;0;0;0;0
"21";0,95;100;100;2;0,25;0,00198;0,00204;0,00204;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,1582;0,16103;0,16103;0;0;0
"27";0,95;100;100;3;0,5;0;0;0;0;0;0
"28";0,95;100;100;3;0,25;0;0;0;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0,02324;0,02377;0,02377;0;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;0;0;0;0;0;0
"36";0,95;100;20;0;10;0,99996;0,95067;0,95067;0;0;0
"37";0,95;100;20;0;4;0,99987;0,94947;0,94947;0;0;0
"38";0,95;100;20;0;2;0,99693;0,95142;0,95142;0;0;0
"39";0,95;100;20;0;1;0,95082;0,9502;0,9502;0;0;0
"40";0,95;100;20;0;0,1;0,62014;0,95061;0,95061;0;0;0
"41";0,95;100;20;0;0,5;0,79788;0,9496;0,9496;0;0;0
"42";0,95;100;20;0;0,25;0,67371;0,94919;0,94919;0;0;0
"43";0,95;100;20;1;10;0;0;0;0;0;0
"44";0,95;100;20;1;4;1e-05;0;0;0;0;0
"45";0,95;100;20;1;2;0,00018;0;0;0;0;0
"46";0,95;100;20;1;1;0,0181;0,02298;0,02298;0;0;0
"47";0,95;100;20;1;0,1;0,5724;0,92906;0,92906;0;0;0
"48";0,95;100;20;1;0,5;0,18531;0,45462;0,45462;0;0;0
"49";0,95;100;20;1;0,25;0,43556;0,81812;0,81812;0;0;0
"50";0,95;100;20;2;10;0;0;0;0;0;0
"51";0,95;100;20;2;4;0;0;0;0;0;0
"52";0,95;100;20;2;2;0;0;0;0;0;0
"53";0,95;100;20;2;1;0;0;0;0;0;0
"54";0,95;100;20;2;0,1;0,45744;0,86613;0,86613;0;0;0
"55";0,95;100;20;2;0,5;0,00124;0,0132;0,0132;0;0;0
"56";0,95;100;20;2;0,25;0,11139;0,44108;0,44108;0;0;0
"57";0,95;100;20;3;10;0;0;0;0;0;0
"58";0,95;100;20;3;4;0;0;0;0;0;0
"59";0,95;100;20;3;2;0;0;0;0;0;0
"60";0,95;100;20;3;1;0;0;0;0;0;0
"61";0,95;100;20;3;0,1;0,31138;0,75583;0,75583;0;0;0
"62";0,95;100;20;3;0,5;0;0;0;0;0;0
"63";0,95;100;20;3;0,25;0,00979;0,11192;0,11192;0;0;0
"64";0,95;100;20;4;10;0;0;0;0;0;0
"65";0,95;100;20;4;4;0;0;0;0;0;0
"66";0,95;100;20;4;2;0;0;0;0;0;0
"67";0,95;100;20;4;1;0;0;0;0;0;0
"68";0,95;100;20;4;0,1;0,18241;0,60887;0,60887;0;0;0
"69";0,95;100;20;4;0,5;0;0;0;0;0;0
"70";0,95;100;20;4;0,25;0,00027;0,0111;0,0111;0;0;0
"71";0,95;100;50;0;10;0,99319;0,94973;0,94973;0;0;0
"72";0,95;100;50;0;4;0,99159;0,95188;0,95188;0;0;0
"73";0,95;100;50;0;2;0,98345;0,94927;0,94927;0;0;0
"74";0,95;100;50;0;1;0,94979;0,94987;0,94987;0;0;0
"75";0,95;100;50;0;0,1;0,83351;0,95086;0,95086;0;0;0
"76";0,95;100;50;0;0,5;0,88859;0,94894;0,94894;0;0;0
"77";0,95;100;50;0;0,25;0,8476;0,94892;0,94892;0;0;0
"78";0,95;100;50;1;10;0;0;0;0;0;0
"79";0,95;100;50;1;4;0;0;0;0;0;0
"80";0,95;100;50;1;2;0;0;0;0;0;0
"81";0,95;100;50;1;1;7e-05;6e-05;6e-05;0;0;0
"82";0,95;100;50;1;0,1;0,73309;0,89222;0,89222;0;0;0
"83";0,95;100;50;1;0,5;0,0426;0,09274;0,09274;9,99999999999612e-06;0;0
"84";0,95;100;50;1;0,25;0,38537;0,60032;0,60032;1,000000000001e-05;9,99999999995449e-06;9,99999999995449e-06
"85";0,95;100;50;2;10;0;0;0;0;0;0
"86";0,95;100;50;2;4;0;0;0;0;0;0
"87";0,95;100;50;2;2;0;0;0;0;0;0
"88";0,95;100;50;2;1;0;0;0;0;0;0
"89";0,95;100;50;2;0,1;0,49255;0,71624;0,71624;0;0;0
"90";0,95;100;50;2;0,5;0;0;0;0;0;0
"91";0,95;100;50;2;0,25;0,02272;0,07371;0,07371;0;0;0
"92";0,95;100;50;3;10;0;0;0;0;0;0
"93";0,95;100;50;3;4;0;0;0;0;0;0
"94";0,95;100;50;3;2;0;0;0;0;0;0
"95";0,95;100;50;3;1;0;0;0;0;0;0
"96";0,95;100;50;3;0,1;0,23632;0,45397;0,45397;0;0;0
"97";0,95;100;50;3;0,5;0;0;0;0;0;0
"98";0,95;100;50;3;0,25;4e-05;0,00079;0,00079;0;0;0
"99";0,95;100;50;4;10;0;0;0;0;0;0
"100";0,95;100;50;4;4;0;0;0;0;0;0
"101";0,95;100;50;4;2;0;0;0;0;0;0
"102";0,95;100;50;4;1;0;0;0;0;0;0
"103";0,95;100;50;4;0,1;0,07715;0,20724;0,20724;0;0;0
"104";0,95;100;50;4;0,5;0;0;0;0;0;0
"105";0,95;100;50;4;0,25;0;0;0;0;0;0
"106";0,95;20;100;0;10;0,61801;0,94916;0,94916;0;0;0
"107";0,95;20;100;0;4;0,67382;0,95006;0,95006;0;0;0
"108";0,95;20;100;0;2;0,79917;0,94912;0,94912;1,00000000000655e-05;0;0
"109";0,95;20;100;0;1;0,95005;0,94911;0,94911;0;0;0
"110";0,95;20;100;0;0,1;0,99996;0,94992;0,94992;0;0;0
"111";0,95;20;100;0;0,5;0,99698;0,94928;0,94928;0;0;0
"112";0,95;20;100;0;0,25;0,99975;0,95001;0,95001;0;0;0
"113";0,95;20;100;1;10;0,00012;0,00986;0,00986;0;0;0
"114";0,95;20;100;1;4;0,00021;0,01083;0,01083;0;0;0
"115";0,95;20;100;1;2;0,00113;0,01302;0,01302;0;0;0
"116";0,95;20;100;1;1;0,01808;0,02304;0,02304;0;0;0
"117";0,95;20;100;1;0,1;0,99929;0,83873;0,83873;0;0;0
"118";0,95;20;100;1;0,5;0,38182;0,09414;0,09414;1,000000000001e-05;0;0
"119";0,95;20;100;1;0,25;0,9522;0,42164;0,42164;0;0;0
"120";0,95;20;100;2;10;0;0;0;0;0;0
"121";0,95;20;100;2;4;0;0;0;0;0;0
"122";0,95;20;100;2;2;0;0;0;0;0;0
"123";0,95;20;100;2;1;0;0;0;0;0;0
"124";0,95;20;100;2;0,1;0,9884;0,51077;0,51077;0;0;0
"125";0,95;20;100;2;0,5;0,00017;0;0;0;0;0
"126";0,95;20;100;2;0,25;0,32398;0,00864;0,00864;0;0;0
"127";0,95;20;100;3;10;0;0;0;0;0;0
"128";0,95;20;100;3;4;0;0;0;0;0;0
"129";0,95;20;100;3;2;0;0;0;0;0;0
"130";0,95;20;100;3;1;0;0;0;0;0;0
"131";0,95;20;100;3;0,1;0,90923;0,17444;0,17444;0;0;0
"132";0,95;20;100;3;0,5;0;0;0;0;0;0
"133";0,95;20;100;3;0,25;0,00571;2e-05;2e-05;0;0;0
"134";0,95;20;100;4;10;0;0;0;0;0;0
"135";0,95;20;100;4;4;0;0;0;0;0;0
"136";0,95;20;100;4;2;0;0;0;0;0;0
"137";0,95;20;100;4;1;0;0;0;0;0;0
"138";0,95;20;100;4;0,1;0,66027;0,02788;0,02788;0;0;0
"139";0,95;20;100;4;0,5;0;0;0;0;0;0
"140";0,95;20;100;4;0,25;0;0;0;0;0;0
"141";0,95;20;20;0;10;0,94368;0,95065;0,95065;0;0;0
"142";0,95;20;20;0;4;0,94413;0,94945;0,94945;0;0;0
"143";0,95;20;20;0;2;0,94889;0,9511;0,9511;0;0;0
"144";0,95;20;20;0;1;0,9522;0,95251;0,95251;0;0;0
"145";0,95;20;20;0;0,1;0,94381;0,95065;0,95065;0;0;0
"146";0,95;20;20;0;0,5;0,94846;0,95094;0,95094;0;0;0
"147";0,95;20;20;0;0,25;0,94387;0,94916;0,94916;0;0;0
"148";0,95;20;20;1;10;0,00837;0,01002;0,01002;0;0;0
"149";0,95;20;20;1;4;0,01112;0,01321;0,01321;0;0;0
"150";0,95;20;20;1;2;0,02592;0,02758;0,02758;0;0;0
"151";0,95;20;20;1;1;0,12949;0,13021;0,13021;0;0;0
"152";0,95;20;20;1;0,1;0,92019;0,92864;0,92864;0;0;0
"153";0,95;20;20;1;0,5;0,5046;0,51375;0,51375;0;0;0
"154";0,95;20;20;1;0,25;0,81054;0,82292;0,82292;0;0;0
"155";0,95;20;20;2;10;0;0;0;0;0;0
"156";0,95;20;20;2;4;0;0;0;0;0;0
"157";0,95;20;20;2;2;0;0;0;0;0;0
"158";0,95;20;20;2;1;0;0;0;0;0;0
"159";0,95;20;20;2;0,1;0,85404;0,86721;0,86721;0;0;0
"160";0,95;20;20;2;0,5;0,02583;0,02761;0,02761;0;0;0
"161";0,95;20;20;2;0,25;0,438;0,45855;0,45855;0;0;0
"162";0,95;20;20;3;10;0;0;0;0;0;0
"163";0,95;20;20;3;4;0;0;0;0;0;0
"164";0,95;20;20;3;2;0;0;0;0;0;0
"165";0,95;20;20;3;1;0;0;0;0;0;0
"166";0,95;20;20;3;0,1;0,73785;0,75713;0,75713;0;0;0
"167";0,95;20;20;3;0,5;3e-05;4e-05;4e-05;0;0;0
