"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,95045;0,95182;0,95182;0;0;0
"2";0,95;100;100;0;4;0,9494;0,95035;0,95035;0;0;0
"3";0,95;100;100;0;2;0,95097;0,95133;0,95133;0;0;0
"4";0,95;100;100;0;1;0,95108;0,95108;0,95108;0;0;0
"5";0,95;100;100;0;0,1;0,95011;0,95124;0,95124;0;0;0
"6";0,95;100;100;0;0,5;0,94955;0,95013;0,95013;0;0;0
"7";0,95;100;100;0;0,25;0,95119;0,95226;0,95226;0;0;0
"8";0,95;100;100;1;10;6e-05;6e-05;6e-05;0;0;0
"9";0,95;100;100;1;4;2e-05;2e-05;2e-05;0;0;0
"10";0,95;100;100;1;2;4e-05;4e-05;4e-05;0;0;0
"11";0,95;100;100;1;1;0,00023;0,00023;0,00023;0;0;0
"12";0,95;100;100;1;0,1;0,82247;0,82574;0,82574;1,00000000000655e-05;0;0
"13";0,95;100;100;1;0,5;0,01085;0,01104;0,01104;0;0;0
"14";0,95;100;100;1;0,25;0,3101;0,31322;0,31322;0;0;0
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;1e-05;1e-05;1e-05;0;0;0
"17";0,95;100;100;2;2;1e-05;1e-05;1e-05;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0,47029;0,47448;0,47448;1,000000000001e-05;1,000000000001e-05;1,000000000001e-05
"20";0,95;100;100;2;0,5;5e-05;5e-05;5e-05;0;0;0
"21";0,95;100;100;2;0,25;0,00566;0,00584;0,00584;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,15413;0,15651;0,15651;1,99999999999922e-05;0;0
"27";0,95;100;100;3;0,5;1e-05;1e-05;1e-05;0;0;0
"28";0,95;100;100;3;0,25;2e-04;2e-04;2e-04;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0,03065;0,03158;0,03158;0;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;6e-05;7e-05;7e-05;0;0;0
"36";0,95;100;20;0;10;0,99995;0,95045;0,95045;0;0;0
"37";0,95;100;20;0;4;0,99983;0,9521;0,9521;0;0;0
"38";0,95;100;20;0;2;0,99614;0,95282;0,95282;0;0;0
