"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"1";0,95;100;100;0;10;0,93295;0,93412;0,93412;0;0;0
"2";0,95;100;100;0;4;0,93595;0,93693;0,93693;0;0;0
"3";0,95;100;100;0;2;0,94377;0,9442;0,9442;0;0;0
"4";0,95;100;100;0;1;0,95079;0,95102;0,95102;0;0;0
"5";0,95;100;100;0;0,1;0,93301;0,93419;0,93419;0;0;0
"6";0,95;100;100;0;0,5;0,9431;0,94344;0,94344;0;9,99999999995449e-06;9,99999999995449e-06
"7";0,95;100;100;0;0,25;0,93489;0,93588;0,93588;0;0;0
"8";0,95;100;100;1;10;0;0;0;0;0;0
"9";0,95;100;100;1;4;0;0;0;0;0;0
"10";0,95;100;100;1;2;0;0;0;0;0;0
"11";0,95;100;100;1;1;0;0;0;0;0;0
"12";0,95;100;100;1;0,1;0,76704;0,7697;0,7697;2,000000000002e-05;0;0
"13";0,95;100;100;1;0,5;0,02192;0,02222;0,02222;0;0;0
"14";0,95;100;100;1;0,25;0,34055;0,34369;0,34369;1,000000000001e-05;2,000000000002e-05;2,000000000002e-05
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0,47128;0,47464;0,47464;0;0;0
"20";0,95;100;100;2;0,5;0;0;0;0;0;0
"21";0,95;100;100;2;0,25;0,0149;0,01539;0,01539;9,99999999999959e-06;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0,20281;0,20541;0,20541;1,99999999999922e-05;0;0
"27";0,95;100;100;3;0,5;0;0;0;0;0;0
"28";0,95;100;100;3;0,25;5e-05;5e-05;5e-05;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0,06071;0,06196;0,06196;0;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;0;0;0;0;0;0
"36";0,95;100;20;0;10;0,9976;0,93595;0,93595;0;0;0
"37";0,95;100;20;0;4;0,99631;0,94917;0,94917;0;0;0
"38";0,95;100;20;0;2;0,99;0,94814;0,94814;0;0;0
"39";0,95;100;20;0;1;0,95487;0,91003;0,91003;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"40";0,95;100;20;0;0,1;0,59585;0,88253;0,88253;9,99999999995449e-06;0;0
"41";0,95;100;20;0;0,5;0,78748;0,8894;0,8894;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"42";0,95;100;20;0;0,25;0,6495;0,88037;0,88037;0;9,99999999995449e-06;9,99999999995449e-06
"43";0,95;100;20;1;10;0;0;0;0;0;0
"44";0,95;100;20;1;4;0;0;0;0;0;0
"45";0,95;100;20;1;2;0,00022;0,00042;0,00042;0;0;0
"46";0,95;100;20;1;1;0,0325;0,08826;0,08826;0;0;0
"47";0,95;100;20;1;0,1;0,53148;0,80879;0,80879;9,99999999995449e-06;0;0
"48";0,95;100;20;1;0,5;0,20468;0,42612;0,42612;0;1,000000000001e-05;1,000000000001e-05
"49";0,95;100;20;1;0,25;0,40674;0,67511;0,67511;0;0;0
"50";0,95;100;20;2;10;0;0;0;0;0;0
"51";0,95;100;20;2;4;0;0;0;0;0;0
"52";0,95;100;20;2;2;0;0;0;0;0;0
"53";0,95;100;20;2;1;0;0,00015;0,00015;0;0;0
"54";0,95;100;20;2;0,1;0,42738;0,72089;0,72089;0;0;0
"55";0,95;100;20;2;0,5;0,00973;0,07788;0,07788;0;1,000000000001e-05;1,000000000001e-05
"56";0,95;100;20;2;0,25;0,15249;0,41998;0,41998;0;2,000000000002e-05;2,000000000002e-05
"57";0,95;100;20;3;10;0;0;0;0;0;0
"58";0,95;100;20;3;4;0;0;0;0;0;0
"59";0,95;100;20;3;2;0;0;0;0;0;0
"60";0,95;100;20;3;1;0;0;0;0;0;0
"61";0,95;100;20;3;0,1;0,31447;0,62356;0,62356;1,000000000001e-05;0;0
"62";0,95;100;20;3;0,5;0,00012;0,00507;0,00507;0;0;0
"63";0,95;100;20;3;0,25;0,03794;0,20428;0,20428;0;0;0
"64";0,95;100;20;4;10;0;0;0;0;0;0
"65";0,95;100;20;4;4;0;0;0;0;0;0
"66";0,95;100;20;4;2;0;0;0;0;0;0
"67";0,95;100;20;4;1;0;0;0;0;0;0
"68";0,95;100;20;4;0,1;0,21725;0,52067;0,52067;1,000000000001e-05;0;0
"69";0,95;100;20;4;0,5;1e-05;0,00012;0,00012;0;0;0
"70";0,95;100;20;4;0,25;0,00664;0,07536;0,07536;0;1,99999999999922e-05;1,99999999999922e-05
"71";0,95;100;50;0;10;0,98117;0,93589;0,93589;0;9,99999999995449e-06;9,99999999995449e-06
"72";0,95;100;50;0;4;0,97929;0,93983;0,93983;0;0;0
"73";0,95;100;50;0;2;0,9758;0,95001;0,95001;0;2,000000000002e-05;2,000000000002e-05
"74";0,95;100;50;0;1;0,95149;0,94619;0,94619;0;9,99999999995449e-06;9,99999999995449e-06
"75";0,95;100;50;0;0,1;0,81114;0,91914;0,91914;9,99999999995449e-06;0;0
"76";0,95;100;50;0;0,5;0,88188;0,92905;0,92905;0;0;0
"77";0,95;100;50;0;0,25;0,83282;0,92238;0,92238;0;0;0
"78";0,95;100;50;1;10;0;0;0;0;0;0
"79";0,95;100;50;1;4;0;0;0;0;0;0
"80";0,95;100;50;1;2;0;0;0;0;0;0
"81";0,95;100;50;1;1;0,00054;0,00183;0,00183;0;0;0
"82";0,95;100;50;1;0,1;0,67408;0,80824;0,80824;0;0;0
"83";0,95;100;50;1;0,5;0,07766;0,15342;0,15342;1,000000000001e-05;1,000000000001e-05;1,000000000001e-05
"84";0,95;100;50;1;0,25;0,38333;0,54285;0,54285;1,000000000001e-05;0;0
"85";0,95;100;50;2;10;0;0;0;0;0;0
"86";0,95;100;50;2;4;0;0;0;0;0;0
"87";0,95;100;50;2;2;0;0;0;0;0;0
"88";0,95;100;50;2;1;0;0;0;0;0;0
"89";0,95;100;50;2;0,1;0,46354;0,63437;0,63437;0;0;0
"90";0,95;100;50;2;0,5;0,00011;0,00098;0,00098;0;0;0
"91";0,95;100;50;2;0,25;0,05779;0,13791;0,13791;0;0;0
"92";0,95;100;50;3;10;0;0;0;0;0;0
"93";0,95;100;50;3;4;0;0;0;0;0;0
"94";0,95;100;50;3;2;0;0;0;0;0;0
"95";0,95;100;50;3;1;0;0;0;0;0;0
"96";0,95;100;50;3;0,1;0,26829;0,43476;0,43476;9,99999999995449e-06;0;0
"97";0,95;100;50;3;0,5;0;0;0;0;0;0
"98";0,95;100;50;3;0,25;0,00296;0,0147;0,0147;0;0;0
"99";0,95;100;50;4;10;0;0;0;0;0;0
"100";0,95;100;50;4;4;0;0;0;0;0;0
"101";0,95;100;50;4;2;0;0;0;0;0;0
"102";0,95;100;50;4;1;0;0;0;0;0;0
"103";0,95;100;50;4;0,1;0,1308;0,26144;0,26144;0;0;0
"104";0,95;100;50;4;0,5;0;0;0;0;0;0
"105";0,95;100;50;4;0,25;6e-05;0,00063;0,00063;0;0;0
"106";0,95;20;100;0;10;0,59163;0,88217;0,88217;0;0;0
"107";0,95;20;100;0;4;0,65069;0,88211;0,88211;0;0;0
"108";0,95;20;100;0;2;0,78782;0,88821;0,88821;9,99999999995449e-06;0;0
"109";0,95;20;100;0;1;0,9544;0,90966;0,90966;1,00000000000655e-05;1,00000000000655e-05;1,00000000000655e-05
"110";0,95;20;100;0;0,1;0,99807;0,93781;0,93781;1,00000000000655e-05;0;0
"111";0,95;20;100;0;0,5;0,98993;0,94873;0,94873;0;0;0
"112";0,95;20;100;0;0,25;0,99658;0,94833;0,94833;0;9,99999999995449e-06;9,99999999995449e-06
"113";0,95;20;100;1;10;0;0;0;0;0;0
"114";0,95;20;100;1;4;0;0;0;0;0;0
"115";0,95;20;100;1;2;0;0;0;0;0;0
"116";0,95;20;100;1;1;0,01707;6e-04;6e-04;9,99999999999959e-06;0;0
"117";0,95;20;100;1;0,1;0,98368;0,77517;0,77517;0;2,99999999999745e-05;2,99999999999745e-05
"118";0,95;20;100;1;0,5;0,39213;0,06966;0,06966;9,99999999995449e-06;0;0
"119";0,95;20;100;1;0,25;0,86319;0,41198;0,41198;1,00000000000655e-05;0;0
"120";0,95;20;100;2;10;0;0;0;0;0;0
"121";0,95;20;100;2;4;0;0;0;0;0;0
"122";0,95;20;100;2;2;0;0;0;0;0;0
"123";0,95;20;100;2;1;0;0;0;0;0;0
"124";0,95;20;100;2;0,1;0,92819;0,48739;0,48739;0;1,000000000001e-05;1,000000000001e-05
"125";0,95;20;100;2;0,5;0,00279;0;0;0;0;0
"126";0,95;20;100;2;0,25;0,35952;0,02369;0,02369;0;0;0
"127";0,95;20;100;3;10;0;0;0;0;0;0
"128";0,95;20;100;3;4;0;0;0;0;0;0
"129";0,95;20;100;3;2;0;0;0;0;0;0
"130";0,95;20;100;3;1;0;0;0;0;0;0
"131";0,95;20;100;3;0,1;0,79407;0,21739;0,21739;2,000000000002e-05;3,00000000000022e-05;3,00000000000022e-05
"132";0,95;20;100;3;0,5;0;0;0;0;0;0
"133";0,95;20;100;3;0,25;0,04189;0,00019;0,00019;0;0;0
"134";0,95;20;100;4;10;0;0;0;0;0;0
"135";0,95;20;100;4;4;0;0;0;0;0;0
"136";0,95;20;100;4;2;0;0;0;0;0;0
"137";0,95;20;100;4;1;0;0;0;0;0;0
"138";0,95;20;100;4;0,1;0,58064;0,06676;0,06676;6,000000000006e-05;0;0
"139";0,95;20;100;4;0,5;0;0;0;0;0;0
"140";0,95;20;100;4;0,25;0,00146;0;0;0;0;0
"141";0,95;20;20;0;10;0,87602;0,88168;0,88168;0;0;0
"142";0,95;20;20;0;4;0,8885;0,89161;0,89161;0;0;0
"143";0,95;20;20;0;2;0,91896;0,92081;0,92081;0;0;0
"144";0,95;20;20;0;1;0,95726;0,96185;0,96185;0;0;0
"145";0,95;20;20;0;0,1;0,87528;0,88095;0,88095;0;1,00000000000655e-05;1,00000000000655e-05
"146";0,95;20;20;0;0,5;0,91865;0,9205;0,9205;0;0;0
"147";0,95;20;20;0;0,25;0,88836;0,89164;0,89164;0;0;0
"148";0,95;20;20;1;10;0;0;0;0;0;0
