"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_TRUE";"cohen_FALSE";"shieh_TRUE";"shieh_FALSE";"trshieh_TRUE";"trshieh_FALSE"
"1";0,95;100;100;0;10;0;0;0;0;0;0
"2";0,95;100;100;0;4;0;0;0;0;0;0
"3";0,95;100;100;0;2;0;0;0;0;0;0
"4";0,95;100;100;0;1;0;0;0;0;0;0
"5";0,95;100;100;0;0,1;0;0;0;0;0;0
"6";0,95;100;100;0;0,5;0;0;0;0;0;0
"7";0,95;100;100;0;0,25;0;0;0;0;0;0
"8";0,95;100;100;1;10;0;0;0;0;0;0
"9";0,95;100;100;1;4;0;0;0;0;0;0
"10";0,95;100;100;1;2;0;0;0;0;0;0
"11";0,95;100;100;1;1;0;0;0;0;0;0
"12";0,95;100;100;1;0,1;0;0;0;0;0;0
"13";0,95;100;100;1;0,5;0;0;0;0;0;0
"14";0,95;100;100;1;0,25;0;0;0;0;0;0
"15";0,95;100;100;2;10;0;0;0;0;0;0
"16";0,95;100;100;2;4;0;0;0;0;0;0
"17";0,95;100;100;2;2;0;0;0;0;0;0
"18";0,95;100;100;2;1;0;0;0;0;0;0
"19";0,95;100;100;2;0,1;0;0;0;0;0;0
"20";0,95;100;100;2;0,5;0;0;0;0;0;0
"21";0,95;100;100;2;0,25;0;0;0;0;0;0
"22";0,95;100;100;3;10;0;0;0;0;0;0
"23";0,95;100;100;3;4;0;0;0;0;0;0
"24";0,95;100;100;3;2;0;0;0;0;0;0
"25";0,95;100;100;3;1;0;0;0;0;0;0
"26";0,95;100;100;3;0,1;0;0;0;0;0;0
"27";0,95;100;100;3;0,5;0;0;0;0;0;0
"28";0,95;100;100;3;0,25;0;0;0;0;0;0
"29";0,95;100;100;4;10;0;0;0;0;0;0
"30";0,95;100;100;4;4;0;0;0;0;0;0
"31";0,95;100;100;4;2;0;0;0;0;0;0
"32";0,95;100;100;4;1;0;0;0;0;0;0
"33";0,95;100;100;4;0,1;0;0;0;0;0;0
"34";0,95;100;100;4;0,5;0;0;0;0;0;0
"35";0,95;100;100;4;0,25;0;0;0;0;0;0
"36";0,95;100;20;0;10;0;0;0;0;0;0
"37";0,95;100;20;0;4;0;0;0;0;0;0
"38";0,95;100;20;0;2;0;0;0;0;0;0
"39";0,95;100;20;0;1;0;0;0;0;0;0
"40";0,95;100;20;0;0,1;0;0;0;0;0;0
"41";0,95;100;20;0;0,5;0;0;0;0;0;0
"42";0,95;100;20;0;0,25;0;0;0;0;0;0
"43";0,95;100;20;1;10;0;0;0;0;0;0
"44";0,95;100;20;1;4;0;0;0;0;0;0
"45";0,95;100;20;1;2;0;0;0;0;0;0
"46";0,95;100;20;1;1;0;0;0;0;0;0
"47";0,95;100;20;1;0,1;0;0;0;0;0;0
"48";0,95;100;20;1;0,5;0;0;0;0;0;0
"49";0,95;100;20;1;0,25;0;0;0;0;0;0
"50";0,95;100;20;2;10;0;0;0;0;0;0
"51";0,95;100;20;2;4;0;0;0;0;0;0
"52";0,95;100;20;2;2;0;0;0;0;0;0
"53";0,95;100;20;2;1;0;0;0;0;0;0
"54";0,95;100;20;2;0,1;0;0;0;0;0;0
"55";0,95;100;20;2;0,5;0;0;0;0;0;0
"56";0,95;100;20;2;0,25;0;0;0;0;0;0
"57";0,95;100;20;3;10;0;0;0;0;0;0
"58";0,95;100;20;3;4;0;0;0;0;0;0
"59";0,95;100;20;3;2;0;0;0;0;0;0
"60";0,95;100;20;3;1;0;0;0;0;0;0
"61";0,95;100;20;3;0,1;0;0;0;0;0;0
"62";0,95;100;20;3;0,5;0;0;0;0;0;0
"63";0,95;100;20;3;0,25;0;0;0;0;0;0
"64";0,95;100;20;4;10;0;0;0;0;0;0
"65";0,95;100;20;4;4;0;0;0;0;0;0
"66";0,95;100;20;4;2;0;0;0;0;0;0
"67";0,95;100;20;4;1;0;0;0;0;0;0
"68";0,95;100;20;4;0,1;0;0;0;0;0;0
"69";0,95;100;20;4;0,5;0;0;0;0;0;0
"70";0,95;100;20;4;0,25;0;0;0;0;0;0
"71";0,95;100;50;0;10;0;0;0;0;0;0
"72";0,95;100;50;0;4;0;0;0;0;0;0
"73";0,95;100;50;0;2;0;0;0;0;0;0
"74";0,95;100;50;0;1;0;0;0;0;0;0
"75";0,95;100;50;0;0,1;0;0;0;0;0;0
"76";0,95;100;50;0;0,5;0;0;0;0;0;0
"77";0,95;100;50;0;0,25;0;0;0;0;0;0
"78";0,95;100;50;1;10;0;0;0;0;0;0
"79";0,95;100;50;1;4;0;0;0;0;0;0
"80";0,95;100;50;1;2;0;0;0;0;0;0
"81";0,95;100;50;1;1;0;0;0;0;0;0
"82";0,95;100;50;1;0,1;0;0;0;0;0;0
"83";0,95;100;50;1;0,5;0;0;0;0;0;0
"84";0,95;100;50;1;0,25;0;0;0;0;0;0
"85";0,95;100;50;2;10;0;0;0;0;0;0
"86";0,95;100;50;2;4;0;0;0;0;0;0
"87";0,95;100;50;2;2;0;0;0;0;0;0
"88";0,95;100;50;2;1;0;0;0;0;0;0
"89";0,95;100;50;2;0,1;0;0;0;0;0;0
"90";0,95;100;50;2;0,5;0;0;0;0;0;0
"91";0,95;100;50;2;0,25;0;0;0;0;0;0
"92";0,95;100;50;3;10;0;0;0;0;0;0
"93";0,95;100;50;3;4;0;0;0;0;0;0
"94";0,95;100;50;3;2;0;0;0;0;0;0
"95";0,95;100;50;3;1;0;0;0;0;0;0
"96";0,95;100;50;3;0,1;0;0;0;0;0;0
"97";0,95;100;50;3;0,5;0;0;0;0;0;0
"98";0,95;100;50;3;0,25;0;0;0;0;0;0
"99";0,95;100;50;4;10;0;0;0;0;0;0
"100";0,95;100;50;4;4;0;0;0;0;0;0
"101";0,95;100;50;4;2;0;0;0;0;0;0
"102";0,95;100;50;4;1;0;0;0;0;0;0
"103";0,95;100;50;4;0,1;0;0;0;0;0;0
"104";0,95;100;50;4;0,5;0;0;0;0;0;0
"105";0,95;100;50;4;0,25;0;0;0;0;0;0
"106";0,95;20;20;2;10;0;0;0;0;0;0
"107";0,95;50;100;0;10;0;0;0;0;0;0
"108";0,95;50;100;0;4;0;0;0;0;0;0
"109";0,95;50;100;0;2;0;0;0;0;0;0
"110";0,95;50;100;0;1;0;0;0;0;0;0
"111";0,95;50;100;0;0,1;0;0;0;0;0;0
"112";0,95;50;100;0;0,5;0;0;0;0;0;0
"113";0,95;50;100;0;0,25;0;0;0;0;0;0
"114";0,95;50;100;1;10;0;0;0;0;0;0
"115";0,95;50;100;1;4;0;0;0;0;0;0
"116";0,95;50;100;1;2;0;0;0;0;0;0
"117";0,95;50;100;1;1;0;0;0;0;0;0
"118";0,95;50;100;1;0,1;0;0;0;0;0;0
"119";0,95;50;100;1;0,5;0;0;0;0;0;0
"120";0,95;50;100;1;0,25;0;0;0;0;0;0
"121";0,95;50;100;2;10;0;0;0;0;0;0
"122";0,95;50;100;2;4;0;0;0;0;0;0
"123";0,95;50;100;2;2;0;0;0;0;0;0
