"n1";"n2";"m1";"m2";"var1";"var2";"skew";"kurt";"Average_m1";"Stdev_m1";"Average_m2";"Stdev_m2";"Average_var1";"Stdev_var1";"Average_var2";"Stdev_var2";"Average_skew1";"Stdev_skew1";"Average_skew2";"Stdev_skew2";"Average_kurt1";"Stdev_kurt1";"Average_kurt2";"Stdev_kurt2"
"1";100;100;0;0;1;0,01;6,32;95,75;-1,06412214760089e-05;0,100107837768143;-5,013915073717e-05;0,00997004658152006;1,00028567259259;0,938066375372897;0,00996115493041016;0,00887276601537045;18,6132590356113;14,1008588002656;18,5953324058197;14,2082906545558;3,75683077107498;1,26602745931719;3,75318747996374;1,27435314423317
"2";100;100;0;0;1;0,0625;6,32;95,75;-0,000109672587041432;0,100102460484298;4,32019284875591e-05;0,0248880297738022;0,999526284317006;0,924045282310976;0,0626071441323921;0,0565252832044504;18,607292598965;14,1800319129936;18,7122039834493;14,255981159689;3,75565396098406;1,27175677597639;3,76481848751835;1,27711183935011
"3";100;100;0;0;1;0,25;6,32;95,75;0,000229479900388993;0,100505372639247;2,60820915308279e-05;0,0501524342307376;1,00503303505886;0,948600755498203;0,250573550349818;0,234676064434364;18,7359215545411;14,2773588356162;18,6429410446892;14,2328168014175;3,76645042021466;1,27922208596833;3,75806180961803;1,27435819541851
"4";100;100;0;0;1;1;6,32;95,75;0,00015554434874584;0,100140444674103;2,76641161232996e-05;0,099768102589268;0,999549019243083;0,886014401936819;0,999085816011432;0,99735243864285;18,6911118334159;14,2471317571245;18,6275236620276;14,1574517124543;3,7615994407928;1,27707129915404;3,7564968551771;1,27005327706667
"5";100;100;0;0;1;100;6,32;95,75;0,000365385760586783;0,0997956511964102;0,00568639485722367;1,00292067401281;1,00281292874922;1,05356318672403;100,531202326604;96,8757068667884;18,6168223011532;14,2038324132975;18,6517880210149;14,2007357214866;3,75556093498407;1,27375662823758;3,75952219153063;1,27257602586389
"6";100;100;0;0;1;4;6,32;95,75;-0,000102374025019092;0,0996628028130552;0,000176350751932103;0,198384807903165;0,996206408876466;0,886186968168886;3,99535516459205;3,6616855798173;18,6019157591443;14,1122508232689;18,648449256918;14,2139714317567;3,75481307289895;1,26678061809155;3,75847736897738;1,27492987952418
"7";100;100;0;0;1;16;6,32;95,75;0,000148235793679289;0,0999526840101754;-0,000803739841904791;0,397939958638981;0,997557359625786;0,89782416441056;15,9487812770485;15,3541640466603;18,6185023389761;14,1313240149426;18,5501337497206;14,1418819607093;3,75576142028878;1,26862464319813;3,74946339760559;1,2688227519901
"8";100;100;1;0;1;0,01;6,32;95,75;0,999626100898051;0,100089501269269;6,09335029288625e-05;0,0100199440724832;1,00356581354906;1,89585831281287;0,0100784523097399;0,00934803706263131;18,6228075099899;14,1972343908795;18,710678910961;14,2511901549749;3,75589844298741;1,27281164711953;3,76473054819217;1,27739541386721
"9";100;100;1;0;1;0,0625;6,32;95,75;0,999677933650287;0,100011462864078;-1,47903406507895e-05;0,0249947820695897;0,995555799511316;0,894660807817585;0,0625978300237216;0,0600593278594979;18,584224906612;14,1315086718467;18,6271767299104;14,1689809328518;3,75246041768808;1,26917144848871;3,7565077712319;1,27218450967663
"10";100;100;1;0;1;0,25;6,32;95,75;1,0002057942089;0,100321623163505;-0,000299416252882329;0,0497473040058849;1,0044292863176;0,940900390731909;0,248004345405375;0,265445682709289;18,6916290524308;14,2372128006579;18,5678585625709;14,0945244367157;3,76281720275104;1,27536773318088;3,75139151102698;1,26534331979305
"11";100;100;1;0;1;1;6,32;95,75;1,00061266311728;0,100540816578467;-0,000158675339362558;0,100261188694597;1,00497259310619;1,00736022082193;0,999580344138114;0,923450253823062;18,6883895341878;14,2346440542781;18,6009018349679;14,126908156016;3,76217912687417;1,27588519006883;3,75467657612903;1,26831369257721
"12";100;100;1;0;1;100;6,32;95,75;1,00004473737053;0,100286713042226;-0,00282638165552855;1,00178537252027;1,00682005392363;1,17091373217098;99,697183031582;94,0505646931818;18,6949375183851;14,2082344420798;18,6334374188107;14,1571490166226;3,7629457775689;1,27353454321272;3,75706710220097;1,26957307574163
